task,architecture,block,metric,kind,B,init_reps
single_shape,bn2_w16_gap,6062,prob_error_reduction,random,0.20107714971527457,4
single_shape,bn2_w16_gap,6063,centered_logit_fidelity,random,0.7372600116077739,4
single_shape,bn2_w16_gap,6063,prob_error_reduction,random,0.22178557235747576,4
single_shape,bn2_w16_gap,6064,centered_logit_fidelity,random,0.7143569405414983,4
single_shape,bn2_w16_gap,6064,prob_error_reduction,random,0.10842140298336744,4
single_shape,bn2_w16_gap,6065,centered_logit_fidelity,random,0.8775970058083808,4
single_shape,bn2_w16_gap,6065,prob_error_reduction,random,0.11387332156300545,4
single_shape,bn2_w16_gap,6066,centered_logit_fidelity,random,0.4469893371439666,4
single_shape,bn2_w16_gap,6066,prob_error_reduction,random,0.0654104738496244,4
single_shape,bn2_w16_gap,6067,centered_logit_fidelity,random,0.10705611285632644,4
single_shape,bn2_w16_gap,6067,prob_error_reduction,random,0.06268882378935814,4
single_shape,bn2_w16_gap,6068,centered_logit_fidelity,random,0.1853259280759913,4
single_shape,bn2_w16_gap,6068,prob_error_reduction,random,0.014961328357458115,4
single_shape,bn2_w16_gap,6069,centered_logit_fidelity,random,0.43255963143481874,4
single_shape,bn2_w16_gap,6069,prob_error_reduction,random,0.12138686049729586,4
single_shape,bn2_w16_gap,6070,centered_logit_fidelity,random,0.4096617945575902,4
single_shape,bn2_w16_gap,6070,prob_error_reduction,random,0.07157723885029554,4
single_shape,bn2_w16_gap,6071,centered_logit_fidelity,random,0.5608885539672038,4
single_shape,bn2_w16_gap,6071,prob_error_reduction,random,0.10867035621777177,4
single_shape,bn2_w16_gap,6072,centered_logit_fidelity,random,0.9178514082390474,4
single_shape,bn2_w16_gap,6072,prob_error_reduction,random,0.06684532575309277,4
single_shape,bn2_w16_gap,6073,centered_logit_fidelity,random,0.44777427474597253,4
single_shape,bn2_w16_gap,6073,prob_error_reduction,random,0.1356591321527958,4
single_shape,bn2_w16_gap,6074,centered_logit_fidelity,random,0.8772047644729133,4
single_shape,bn2_w16_gap,6074,prob_error_reduction,random,0.13338046334683895,4
single_shape,bn2_w16_gap,6075,centered_logit_fidelity,random,0.16465131360817492,4
single_shape,bn2_w16_gap,6075,prob_error_reduction,random,0.0635079899802804,4
single_shape,bn2_w16_gap,6076,centered_logit_fidelity,random,0.4711055625024124,4
single_shape,bn2_w16_gap,6076,prob_error_reduction,random,0.12834114115685225,4
single_shape,bn2_w16_gap,6077,centered_logit_fidelity,random,0.5019210629804689,4
single_shape,bn2_w16_gap,6077,prob_error_reduction,random,0.12856868468225002,4
single_shape,bn2_w16_gap,6078,centered_logit_fidelity,random,0.24024406519965627,4
single_shape,bn2_w16_gap,6078,prob_error_reduction,random,0.10668201744556427,4
single_shape,bn2_w16_gap,6079,centered_logit_fidelity,random,0.6329285474326972,4
single_shape,bn2_w16_gap,6079,prob_error_reduction,random,0.16825859528034925,4
single_shape,bn2_w16_gap,6080,centered_logit_fidelity,random,0.2711977231067196,4
single_shape,bn2_w16_gap,6080,prob_error_reduction,random,0.028844648972153664,4
single_shape,bn2_w16_gap,6081,centered_logit_fidelity,random,0.8687616798707083,4
single_shape,bn2_w16_gap,6081,prob_error_reduction,random,0.11029462236911058,4
single_shape,bn2_w16_gap,6082,centered_logit_fidelity,random,0.4498086163578323,4
single_shape,bn2_w16_gap,6082,prob_error_reduction,random,0.10200227331370115,4
single_shape,bn2_w16_gap,6083,centered_logit_fidelity,random,0.6155527125704764,4
single_shape,bn2_w16_gap,6083,prob_error_reduction,random,0.05590658634901047,4
single_shape,bn2_w16_gap,6084,centered_logit_fidelity,random,0.7304669199206888,4
single_shape,bn2_w16_gap,6084,prob_error_reduction,random,0.09531426709145308,4
single_shape,bn2_w16_gap,6085,centered_logit_fidelity,random,0.47072660308098346,4
single_shape,bn2_w16_gap,6085,prob_error_reduction,random,0.13463133852928877,4
single_shape,bn2_w16_gap,6086,centered_logit_fidelity,random,0.7235659407222859,4
single_shape,bn2_w16_gap,6086,prob_error_reduction,random,0.10993072157725692,4
single_shape,bn2_w16_gap,6087,centered_logit_fidelity,random,-0.059107951472503126,4
single_shape,bn2_w16_gap,6087,prob_error_reduction,random,0.1264331778511405,4
single_shape,bn2_w16_gap,6088,centered_logit_fidelity,random,0.5065261041666741,4
single_shape,bn2_w16_gap,6088,prob_error_reduction,random,0.11576053593307734,4
single_shape,bn2_w16_gap,6089,centered_logit_fidelity,random,0.3116375445734334,4
single_shape,bn2_w16_gap,6089,prob_error_reduction,random,0.042138487100601196,4
single_shape,bn2_w16_gap,6090,centered_logit_fidelity,random,0.8309005662772626,4
single_shape,bn2_w16_gap,6090,prob_error_reduction,random,0.10912815481424332,4
single_shape,bn2_w16_gap,6091,centered_logit_fidelity,random,0.6910207851399551,4
single_shape,bn2_w16_gap,6091,prob_error_reduction,random,0.09245698992162943,4
single_shape,bn2_w16_gap,6092,centered_logit_fidelity,random,0.7104901185816286,4
single_shape,bn2_w16_gap,6092,prob_error_reduction,random,0.09360731579363346,4
single_shape,bn2_w16_gap,6093,centered_logit_fidelity,random,0.74744578374048,4
single_shape,bn2_w16_gap,6093,prob_error_reduction,random,0.12312135007232428,4
single_shape,bn2_w16_gap,6094,centered_logit_fidelity,random,0.7650397042668465,4
single_shape,bn2_w16_gap,6094,prob_error_reduction,random,0.14491316583007574,4
single_shape,bn2_w16_gap,6095,centered_logit_fidelity,random,0.3886703983662906,4
single_shape,bn2_w16_gap,6095,prob_error_reduction,random,0.15688983909785748,4
single_shape,bn2_w16_gap,6096,centered_logit_fidelity,random,1.303223108565925,4
single_shape,bn2_w16_gap,6096,prob_error_reduction,random,0.08456317707896233,4
single_shape,bn2_w16_gap,6097,centered_logit_fidelity,random,0.3790507891245316,4
