task,architecture,block,metric,kind,B,init_reps
single_shape,bn2_w16_gap,6052,prob_error_reduction,selected,-0.19890186935663223,4
single_shape,bn2_w16_gap,6053,centered_logit_fidelity,selected,0.12700570674827272,4
single_shape,bn2_w16_gap,6053,prob_error_reduction,selected,-0.03246662765741348,4
single_shape,bn2_w16_gap,6054,centered_logit_fidelity,selected,-0.27918040591658233,4
single_shape,bn2_w16_gap,6054,prob_error_reduction,selected,-0.04538208991289139,4
single_shape,bn2_w16_gap,6055,centered_logit_fidelity,selected,-0.43187642549827654,4
single_shape,bn2_w16_gap,6055,prob_error_reduction,selected,-0.052318841218948364,4
single_shape,bn2_w16_gap,6056,centered_logit_fidelity,selected,-0.4619392810614703,4
single_shape,bn2_w16_gap,6056,prob_error_reduction,selected,-0.06364776194095612,4
single_shape,bn2_w16_gap,6057,centered_logit_fidelity,selected,0.4404948707963233,4
single_shape,bn2_w16_gap,6057,prob_error_reduction,selected,0.017242811620235443,4
single_shape,bn2_w16_gap,6058,centered_logit_fidelity,selected,-0.1877143920966513,4
single_shape,bn2_w16_gap,6058,prob_error_reduction,selected,-0.03918451815843582,4
single_shape,bn2_w16_gap,6059,centered_logit_fidelity,selected,-0.01457654567263919,4
single_shape,bn2_w16_gap,6059,prob_error_reduction,selected,0.026871860027313232,4
single_shape,bn2_w16_gap,6060,centered_logit_fidelity,selected,-0.21163840084350832,4
single_shape,bn2_w16_gap,6060,prob_error_reduction,selected,-0.04131200164556503,4
single_shape,bn2_w16_gap,6061,centered_logit_fidelity,selected,0.4087731328397769,4
single_shape,bn2_w16_gap,6061,prob_error_reduction,selected,-0.04030817747116089,4
single_shape,bn2_w16_gap,6062,centered_logit_fidelity,selected,-0.7870606017778097,4
single_shape,bn2_w16_gap,6062,prob_error_reduction,selected,0.22753401845693588,4
single_shape,bn2_w16_gap,6063,centered_logit_fidelity,selected,-0.3064469461460244,4
single_shape,bn2_w16_gap,6063,prob_error_reduction,selected,-0.06599012017250061,4
single_shape,bn2_w16_gap,6064,centered_logit_fidelity,selected,-0.1396797985861907,4
single_shape,bn2_w16_gap,6064,prob_error_reduction,selected,0.06158527731895447,4
single_shape,bn2_w16_gap,6065,centered_logit_fidelity,selected,0.24533471659957146,4
single_shape,bn2_w16_gap,6065,prob_error_reduction,selected,-0.07250236719846725,4
single_shape,bn2_w16_gap,6066,centered_logit_fidelity,selected,-0.3282142041222198,4
single_shape,bn2_w16_gap,6066,prob_error_reduction,selected,-0.0740446001291275,4
single_shape,bn2_w16_gap,6067,centered_logit_fidelity,selected,-0.23632010835838452,4
single_shape,bn2_w16_gap,6067,prob_error_reduction,selected,-0.044711366295814514,4
single_shape,bn2_w16_gap,6068,centered_logit_fidelity,selected,0.09356689014669103,4
single_shape,bn2_w16_gap,6068,prob_error_reduction,selected,-0.08553358912467957,4
single_shape,bn2_w16_gap,6069,centered_logit_fidelity,selected,-0.4168794582388846,4
single_shape,bn2_w16_gap,6069,prob_error_reduction,selected,0.1375931203365326,4
single_shape,bn2_w16_gap,6070,centered_logit_fidelity,selected,-0.05009313364966987,4
single_shape,bn2_w16_gap,6070,prob_error_reduction,selected,-0.13282659649848938,4
single_shape,bn2_w16_gap,6071,centered_logit_fidelity,selected,-0.22117096781637913,4
single_shape,bn2_w16_gap,6071,prob_error_reduction,selected,-0.017442919313907623,4
single_shape,bn2_w16_gap,6072,centered_logit_fidelity,selected,-0.5263124312707366,4
single_shape,bn2_w16_gap,6072,prob_error_reduction,selected,-0.15916307270526886,4
single_shape,bn2_w16_gap,6073,centered_logit_fidelity,selected,-0.8640047436516175,4
single_shape,bn2_w16_gap,6073,prob_error_reduction,selected,0.030178867280483246,4
single_shape,bn2_w16_gap,6074,centered_logit_fidelity,selected,-0.5792629753376334,4
single_shape,bn2_w16_gap,6074,prob_error_reduction,selected,-0.03288566321134567,4
single_shape,bn2_w16_gap,6075,centered_logit_fidelity,selected,-0.2807947000855542,4
single_shape,bn2_w16_gap,6075,prob_error_reduction,selected,-0.011841334402561188,4
single_shape,bn2_w16_gap,6076,centered_logit_fidelity,selected,-0.8694675126916339,4
single_shape,bn2_w16_gap,6076,prob_error_reduction,selected,-0.06891269981861115,4
single_shape,bn2_w16_gap,6077,centered_logit_fidelity,selected,-0.43107298340528877,4
single_shape,bn2_w16_gap,6077,prob_error_reduction,selected,-0.09201914817094803,4
single_shape,bn2_w16_gap,6078,centered_logit_fidelity,selected,-0.41959266574175713,4
single_shape,bn2_w16_gap,6078,prob_error_reduction,selected,0.24232502281665802,4
single_shape,bn2_w16_gap,6079,centered_logit_fidelity,selected,-0.5924414296975857,4
single_shape,bn2_w16_gap,6079,prob_error_reduction,selected,-0.22926723212003708,4
single_shape,bn2_w16_gap,6080,centered_logit_fidelity,selected,-0.6597381292225407,4
