task,architecture,metric,selected_mean,selected_ci_low,selected_ci_high,random_mean,random_ci_low,random_ci_high,selected_minus_random_mean,selected_minus_random_ci_low,selected_minus_random_ci_high
single_shape,plain2_w16_gmp,centered_logit_fidelity,0.052513511926498425,0.04878050915045218,0.05624651470254467,0.008443368073483126,0.007633072431836058,0.009253663715130193,0.044070143853015296,0.04032246915376735,0.04781781855226324
single_shape,plain2_w16_gmp,prob_error_reduction,-0.020305387154221536,-0.030568938225390203,-0.010041836083052869,-0.040859253951348366,-0.04302121520596624,-0.038697292696730494,0.02055386679712683,0.01037189399553516,0.0307358395987185
single_shape,plain2_w64_gap,centered_logit_fidelity,0.04318391525845709,0.031594271903135705,0.05477355861377848,-0.008184944689810576,-0.011219315065992268,-0.005150574313628886,0.05136885994826767,0.040799544852038065,0.06193817504449727
single_shape,plain2_w64_gap,prob_error_reduction,0.1525119547918439,0.1352385564445074,0.1697853531391804,0.08819510925095528,0.0842836992856564,0.09210651921625415,0.06431684554088861,0.04663401692018418,0.08199967416159304
single_shape,plain2_w64_gmp,centered_logit_fidelity,0.03206520401653521,0.030039043751055296,0.034091364282015126,0.0037487129402182483,0.0032861066842012764,0.00421131919623522,0.028316491076316955,0.026304638808546003,0.030328343344087908
single_shape,plain2_w64_gmp,prob_error_reduction,-0.04630363557487726,-0.05233228820425161,-0.040274982945502906,-0.03521367638837546,-0.03659572733191661,-0.03383162544483432,-0.011089959186501802,-0.017055323215146582,-0.005124595157857021
single_shape,plain4_w16_gap,centered_logit_fidelity,0.1551232608145704,0.12483114597240744,0.18541537565673336,0.03106331263770317,0.022164239249559303,0.039962386025847035,0.12405994817686723,0.09771782042814386,0.1504020759255906
single_shape,plain4_w16_gap,prob_error_reduction,0.14749541954137385,0.1267223475509851,0.1682684915317626,0.03182823034294415,0.025814745870248602,0.0378417148156397,0.11566718919842969,0.09604247812133117,0.1352919002755282
single_shape,plain4_w16_gmp,centered_logit_fidelity,0.01434259979926798,0.011864310975026519,0.016820888623509438,0.0008854576214626667,0.0004932255304538446,0.0012776897124714887,0.01345714217780531,0.010927656950148707,0.015986627405461914
single_shape,plain4_w16_gmp,prob_error_reduction,0.011542917266488074,0.005690636271575452,0.017395198261400697,-0.005675097345374525,-0.006738461214265528,-0.004611733476483521,0.0172180146118626,0.011541553718185608,0.02289447550553959
single_shape,plain4_w64_gap,centered_logit_fidelity,0.08076643459904771,0.06151632313782048,0.10001654606027494,0.007951736575105551,0.002256580434099561,0.01364689271611154,0.07281469802394215,0.0553975955487121,0.0902318004991722
single_shape,plain4_w64_gap,prob_error_reduction,0.09225429391488432,0.07253147420811122,0.11197711362165742,0.005480181273305788,0.0006885668229801335,0.010271795723631443,0.08677411264157854,0.06696210338002971,0.10658612190312737
single_shape,plain4_w64_gmp,centered_logit_fidelity,0.002140396533841049,0.0015574953396684966,0.002723297728013602,-0.0005501292611044473,-0.0006937356779467722,-0.00040652284426212243,0.002690525794945497,0.002102641963869727,0.0032784096260212673
single_shape,plain4_w64_gmp,prob_error_reduction,0.001467980369925499,-0.0003971197196049568,0.0033330804594559546,-0.002798693934455514,-0.003162501823612879,-0.0024348860452981487,0.004266674304381013,0.002455013978600421,0.0060783346301616055
single_shape,res4_w16_gap,centered_logit_fidelity,0.1538694838983929,0.1294813131960602,0.17825765460072557,0.031802704555296234,0.02337292911012878,0.040232480000463686,0.12206677934309663,0.09958807441899843,0.14454548426719482
single_shape,res4_w16_gap,prob_error_reduction,0.1240884816646576,0.10411300158007719,0.144063961749238,0.022020238521508872,0.017352964762713634,0.02668751228030411,0.10206824314314872,0.08264200904012596,0.12149447724617148
single_shape,res4_w16_gmp,centered_logit_fidelity,0.013941572454893818,0.011734231007929825,0.01614891390185781,0.0008925044323296436,0.0006043270523161663,0.001180681812343121,0.013049068022564171,0.010861240692175523,0.01523689535295282
single_shape,res4_w16_gmp,prob_error_reduction,0.01939885064959526,0.014067287537828618,0.024730413761361904,-0.004368640943430364,-0.005117887103506935,-0.003619394783353794,0.023767491593025623,0.018510569234323804,0.029024413951727442
single_shape,tiny_gap,centered_logit_fidelity,-0.013547271460480641,-0.017649968602535114,-0.009444574318426168,-0.033521401742958694,-0.035576117657099345,-0.03146668582881804,0.019974130282478058,0.015395517534561039,0.024552743030395077
single_shape,tiny_gap,prob_error_reduction,0.26435307690640913,0.25673068665399723,0.27197546715882104,0.2121867516200291,0.20783423207963128,0.2165392711604269,0.052166325286380016,0.047175736887793335,0.0571569136849667
single_shape,tiny_gmp,centered_logit_fidelity,0.05689552099853258,0.0521897521653552,0.06160128983170996,0.014536551014242359,0.013466442649944288,0.01560665937854043,0.04235896998429021,0.03761337670132924,0.047104563267251175
single_shape,tiny_gmp,prob_error_reduction,0.34592861955054105,0.3344286955668024,0.3574285435342797,0.09675692060263827,0.09298481329327567,0.10052902791200087,0.24917169894790278,0.23731278158238522,0.26103061631342034
two_concepts,bn2_w16_gap,centered_logit_fidelity,-0.13816720280241337,-0.19596519161444992,-0.08036921399037682,0.24213589224868998,0.22482352465227068,0.2594482598451093,-0.3803030950511034,-0.4396060295312487,-0.32100016057095804
two_concepts,bn2_w16_gap,prob_error_reduction,-0.03899207196896896,-0.07056487678020879,-0.0074192671577291355,0.21958838814578485,0.20653206483302164,0.23264471145854806,-0.25858046011475383,-0.28877637224553665,-0.22838454798397098
