task,architecture,metric,n,mean,sd,ci_low,ci_high,t_stat,p_two_sided
single_shape,plain2_w64_gmp,centered_logit_error_reduction,100,68.70044283866882,8.105379335266907,67.09215973106133,70.30872594627631,84.75907171888896,3.200548471690979e-94
single_shape,plain2_w64_gmp,centered_logit_fidelity,100,0.03206520401653521,0.010211384717079271,0.030039043751055296,0.034091364282015126,31.401425864313843,2.835038451794115e-53
single_shape,plain2_w64_gmp,cf_accuracy,100,-0.012688801683252678,0.01782380540022265,-0.01622543136494261,-0.009152172001562747,-7.11901942280753,1.751561839469569e-10
single_shape,plain2_w64_gmp,prob_error_reduction,100,-0.04630363557487726,0.030383031576029722,-0.05233228820425161,-0.040274982945502906,-15.239965590335586,1.033023639727086e-27
single_shape,plain2_w64_gmp,prob_fidelity,100,-0.023857190995633853,0.01521449641134923,-0.026876077164558837,-0.02083830482670887,-15.680565659628153,1.3936391449204436e-28
single_shape,plain2_w64_gmp,raw_logit_error_reduction,100,69.3316855430603,8.219708506070129,67.70071704757596,70.96265403854464,84.34810734694534,5.144847439100501e-94
single_shape,plain2_w64_gmp,raw_logit_fidelity,100,0.03167121436528103,0.010183521712343952,0.02965058272443291,0.03369184600612915,31.100453516872044,6.743794459093766e-53
single_shape,plain4_w16_gap,agreement,100,0.06832519736228278,0.051992999916134916,0.05800865818254017,0.07864173654202539,13.141230064141675,1.977607526098674e-23
single_shape,plain4_w16_gap,centered_logit_error_reduction,100,618.0684952926636,463.34189031756387,526.1314119778431,710.005578607484,13.3393614565921,7.63279340278012e-24
single_shape,plain4_w16_gap,centered_logit_fidelity,100,0.1551232608145704,0.15266533640862137,0.12483114597240744,0.18541537565673336,10.16100081811435,4.874042545727966e-17
single_shape,plain4_w16_gap,cf_accuracy,100,0.06888509358803276,0.05290171059539835,0.05838824649490194,0.07938194068116358,13.021335758852517,3.5252724493091047e-23
single_shape,plain4_w16_gap,prob_error_reduction,100,0.14749541954137385,0.10469153574048595,0.1267223475509851,0.1682684915317626,14.088571582997124,2.167650077750858e-25
single_shape,plain4_w16_gap,prob_fidelity,100,0.06236044244625148,0.05243716963440163,0.05195577035807226,0.07276511453443071,11.892411982003631,8.716472262168814e-21
single_shape,plain4_w16_gap,raw_logit_error_reduction,100,678.7930983543396,486.02053762253576,582.3560793973617,775.2301173113175,13.966345983541938,3.8588027577293213e-25
