task,metric,family,contrast,alternative_architecture,reference_architecture,n,mean,sd,ci_low,ci_high,t_stat,p_two_sided,p_holm_within_factor_family
single_shape,agreement,batchnorm,depth4 GMP: BN - noBN,bn4_w16_gmp,plain4_w16_gmp,100,-0.005730794852570398,0.026818047468772862,-0.01105207729216923,-0.00040951241297156656,-2.1369172603797417,0.03506869621247732,0.03506869621247732
single_shape,agreement,batchnorm,depth4 GAP: BN - noBN,bn4_w16_gap,plain4_w16_gap,100,-0.04813476672396064,0.08159390817865965,-0.06432476829938885,-0.03194476514853243,-5.899308882050826,5.105499711797422e-08,1.5316499135392266e-07
two_concepts,centered_logit_fidelity,pooling,tiny: GAP - GMP,tiny_gap,tiny_gmp,100,-0.06065031573823613,0.06752385811545518,-0.07404851412915635,-0.04725211734731591,-8.982057221098597,1.8125509447401602e-14,7.250203778960641e-14
two_concepts,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,plain2_w16_gap,plain2_w16_gmp,100,0.11030393309674481,0.10416881204470319,0.08963458082817287,0.13097328536531674,10.588959491004733,5.69961220085943e-18,3.419767320515658e-17
two_concepts,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,plain4_w16_gap,plain4_w16_gmp,100,0.0444697979606763,0.07452495219952716,0.029682430613629376,0.05925716530772322,5.96710184283197,3.764948974866489e-08,7.529897949732978e-08
two_concepts,centered_logit_fidelity,pooling,plain2_w64: GAP - GMP,plain2_w64_gap,plain2_w64_gmp,100,0.22849561714105732,0.10093386017259302,0.20846814950670609,0.24852308477540855,22.638153019248307,6.285816419695919e-41,5.028653135756735e-40
two_concepts,centered_logit_fidelity,pooling,plain4_w64: GAP - GMP,plain4_w64_gap,plain4_w64_gmp,100,0.05597914156277487,0.05196855401177493,0.04566745298081506,0.06629083014473468,10.771733527565772,2.283539590005756e-18,1.5984777130040292e-17
two_concepts,centered_logit_fidelity,pooling,res4_w16: GAP - GMP,res4_w16_gap,res4_w16_gmp,100,0.061825619252547315,0.08466629636134512,0.04502598920572527,0.07862524929936936,7.302270432225278,7.249817238765711e-11,2.174945171629713e-10
two_concepts,centered_logit_fidelity,pooling,bn2_w16: GAP - GMP,bn2_w16_gap,bn2_w16_gmp,100,-0.1546668495875666,0.29858714172734685,-0.21391301640168037,-0.09542068277345284,-5.179956802319364,1.17014006802297e-06,1.17014006802297e-06
two_concepts,centered_logit_fidelity,pooling,bn4_w16: GAP - GMP,bn4_w16_gap,bn4_w16_gmp,100,0.13132625454197588,0.13680462783791153,0.10418124838083037,0.1584712607031214,9.599547662786195,8.179461683575291e-16,4.089730841787646e-15
two_concepts,centered_logit_fidelity,depth,GMP: plain2 - tiny,plain2_w16_gmp,tiny_gmp,100,-0.16225786309904822,0.06328407401057921,-0.1748147963407723,-0.14970092985732414,-25.63960453492983,1.655340500078004e-45,6.621362000312016e-45
two_concepts,centered_logit_fidelity,depth,GAP: plain2 - tiny,plain2_w16_gap,tiny_gap,100,0.008696385735932718,0.0916981665883761,-0.009498519921472388,0.026891291393337825,0.9483707318784163,0.3452500383960071,0.6905000767920142
two_concepts,centered_logit_fidelity,depth,GMP: plain4 - plain2,plain4_w16_gmp,plain2_w16_gmp,100,-7.979944783182632e-05,0.04097487787949522,-0.008210104175599597,0.008050505279935945,-0.01947521309679359,0.9845012074525802,0.9845012074525802
two_concepts,centered_logit_fidelity,depth,GAP: plain4 - plain2,plain4_w16_gap,plain2_w16_gap,100,-0.06591393458390034,0.1179857235479877,-0.08932486185481092,-0.04250300731298975,-5.586602565274901,2.0394063397152935e-07,6.11821901914588e-07
two_concepts,centered_logit_fidelity,width,depth2 GMP: w64 - w16,plain2_w64_gmp,plain2_w16_gmp,100,0.009476011409681967,0.034372673404449695,0.0026557272856366984,0.016296295533727235,2.756844455530554,0.006949715932716122,0.009545974546079975
two_concepts,centered_logit_fidelity,width,depth2 GAP: w64 - w16,plain2_w64_gap,plain2_w16_gap,100,0.12766769545399448,0.11964193952019402,0.10392813900232989,0.15140725190565907,10.67081459611793,3.783295586240321e-18,1.5133182344961283e-17
two_concepts,centered_logit_fidelity,width,depth4 GMP: w64 - w16,plain4_w64_gmp,plain4_w16_gmp,100,0.011902543234261516,0.022472202172756986,0.007443570785195364,0.01636151568332767,5.2965629014725355,7.137747478824756e-07,2.1413242436474268e-06
