task,architecture,metric,k,n,mean,sd,ci_low,ci_high
single_shape,plain4_w64_gap,centered_logit_fidelity,2,100,-0.04157141952080869,0.07630300479481077,-0.05671159107789302,-0.026431247963724373
single_shape,plain4_w64_gap,centered_logit_fidelity,3,100,-0.0307464841690136,0.07340912332226415,-0.04531244685872703,-0.016180521479300165
single_shape,plain4_w64_gap,centered_logit_fidelity,4,100,0.055036368106602784,0.1315069194950549,0.028942542215302958,0.08113019399790261
single_shape,plain4_w64_gap,centered_logit_fidelity,5,100,0.040952658680344395,0.06978717866213086,0.0271053683898654,0.05479994897082339
single_shape,plain4_w64_gap,centered_logit_fidelity,6,100,0.06099554351215579,0.09041525226146381,0.04305519589023993,0.07893589113407165
single_shape,plain4_w64_gap,centered_logit_fidelity,7,100,0.04848783279368586,0.09902077776457337,0.028839962213712076,0.06813570337365965
single_shape,plain4_w64_gap,centered_logit_fidelity,8,100,-0.011275374428819375,0.08167848828605018,-0.027482158532532712,0.004931409674893963
single_shape,plain4_w64_gap,centered_logit_fidelity,9,100,-0.058269740726098765,0.09372294871686011,-0.07686640708576459,-0.039673074366432935
single_shape,plain4_w64_gap,centered_logit_fidelity,10,100,-0.04823211752737917,0.07793570224904543,-0.06369625168101394,-0.03276798337374441
single_shape,plain4_w64_gap,centered_logit_fidelity,11,100,-0.024999427617831187,0.07229190540607724,-0.039343710034753204,-0.010655145200909166
single_shape,plain4_w64_gap,centered_logit_fidelity,12,100,-0.02455177585014934,0.06000415477361479,-0.03645790195689149,-0.012645649743407192
single_shape,plain4_w64_gap,centered_logit_fidelity,13,100,0.012192999186471798,0.05239342390147272,0.0017970072007762843,0.02258899117216731
single_shape,plain4_w64_gap,centered_logit_fidelity,14,100,0.026926087319514208,0.05050415152712624,0.016904967960952914,0.0369472066780755
single_shape,plain4_w64_gap,centered_logit_fidelity,15,100,0.00702828450333606,0.008247990013349374,0.00539170434323573,0.00866486466343639
single_shape,plain4_w64_gap,centered_logit_fidelity,16,100,0.0,0.0,0.0,0.0
single_shape,plain4_w64_gap,cf_accuracy,1,100,-0.01425455758580938,0.02299380642679764,-0.018817027635164237,-0.009692087536454522
single_shape,plain4_w64_gap,cf_accuracy,2,100,-0.01908854224078823,0.04676864638800739,-0.028368456337371742,-0.009808628144204717
single_shape,plain4_w64_gap,cf_accuracy,3,100,-0.07035156469413778,0.060539828154582705,-0.08236398002118295,-0.05833914936709261
single_shape,plain4_w64_gap,cf_accuracy,4,100,-0.050042318258201705,0.05568769751233962,-0.061091965598081804,-0.038992670918321606
single_shape,plain4_w64_gap,cf_accuracy,5,100,0.008795573287643492,0.05353843477956698,-0.0018276136974585706,0.019418760272745555
single_shape,plain4_w64_gap,cf_accuracy,6,100,0.04247721496038139,0.06476210470431704,0.02962700836290936,0.055327421557853425
single_shape,plain4_w64_gap,cf_accuracy,7,100,0.05393229173496365,0.057276774250357314,0.042567337094988916,0.06529724637493839
single_shape,plain4_w64_gap,cf_accuracy,8,100,0.09816406563855708,0.07034620227148924,0.08420585293587549,0.11212227834123867
single_shape,plain4_w64_gap,cf_accuracy,9,100,0.028932294212281703,0.05933875927631236,0.01715819700806523,0.04070639141649818
single_shape,plain4_w64_gap,cf_accuracy,10,100,0.038154298793524506,0.06608838891694216,0.025040928634321252,0.05126766895272776
single_shape,plain4_w64_gap,cf_accuracy,11,100,0.03934895982965827,0.06259554375535763,0.02692864592834328,0.05176927373097326
single_shape,plain4_w64_gap,cf_accuracy,12,100,0.03187825709581375,0.06157869606755715,0.019659707836430278,0.04409680635519723
single_shape,plain4_w64_gap,cf_accuracy,13,100,0.03836263194680214,0.06796462699404168,0.024876975447819607,0.051848288445784665
single_shape,plain4_w64_gap,cf_accuracy,14,100,0.05979492262005806,0.056757397608385864,0.0485330235738091,0.07105682166630702
