task,architecture,treatment,k,metric,control,n,mean,sd,ci_low,ci_high
two_concepts,plain4_w64_gmp,release_default,14,centered_logit_fidelity,random,100,-0.014029694629212282,0.00532388042237134,-0.015086068007441108,-0.012973321250983456
two_concepts,plain4_w64_gmp,release_default,15,centered_logit_fidelity,random,100,-0.005595777144348146,0.0020985943751014712,-0.00601218379770617,-0.005179370490990122
two_concepts,plain4_w64_gmp,release_default,16,centered_logit_fidelity,random,100,0.0,0.0,0.0,0.0
two_concepts,plain4_w64_gmp,retention_1,1,centered_logit_fidelity,random,100,-0.00430337518884338,0.019974975201941622,-0.008266843629164468,-0.00033990674852229195
two_concepts,plain4_w64_gmp,retention_1,2,centered_logit_fidelity,random,100,0.010543573419427577,0.028191710293224523,0.004949726473624638,0.016137420365230516
two_concepts,plain4_w64_gmp,retention_1,3,centered_logit_fidelity,random,100,0.05987940352630892,0.026674139853724434,0.05458667547963423,0.0651721315729836
two_concepts,plain4_w64_gmp,retention_1,4,centered_logit_fidelity,random,100,0.09548005783681403,0.027175327173357862,0.09008788335258566,0.1008722323210424
two_concepts,plain4_w64_gmp,retention_1,5,centered_logit_fidelity,random,100,0.07513076053243785,0.02909707628986488,0.06935726933084253,0.08090425173403316
two_concepts,plain4_w64_gmp,retention_1,6,centered_logit_fidelity,random,100,0.05717839997112778,0.025179007912094355,0.05218233853879717,0.06217446140345839
two_concepts,plain4_w64_gmp,retention_1,7,centered_logit_fidelity,random,100,0.03798615292807943,0.02551805121131997,0.032922817949584286,0.04304948790657457
two_concepts,plain4_w64_gmp,retention_1,8,centered_logit_fidelity,random,100,0.015344807287721047,0.024854054396364674,0.010413223682829277,0.020276390892612815
two_concepts,plain4_w64_gmp,retention_1,9,centered_logit_fidelity,random,100,-0.00604287263108094,0.023699596822087797,-0.010745386807095959,-0.0013403584550659205
two_concepts,plain4_w64_gmp,retention_1,10,centered_logit_fidelity,random,100,-0.026806886708248535,0.024574303860120012,-0.0316829617375171,-0.02193081167897997
two_concepts,plain4_w64_gmp,retention_1,11,centered_logit_fidelity,random,100,-0.04484527682735617,0.026675520735016358,-0.05013827887083762,-0.03955227478387473
two_concepts,plain4_w64_gmp,retention_1,12,centered_logit_fidelity,random,100,-0.03169615227974164,0.01694994278072619,-0.03505938865913531,-0.028332915900347967
two_concepts,plain4_w64_gmp,retention_1,13,centered_logit_fidelity,random,100,-0.024950673889569217,0.01145428565224391,-0.02722345266551876,-0.022677895113619673
two_concepts,plain4_w64_gmp,retention_1,14,centered_logit_fidelity,random,100,-0.01372540248805966,0.005784174545500169,-0.01487310820647127,-0.01257769676964805
two_concepts,plain4_w64_gmp,retention_1,15,centered_logit_fidelity,random,100,-0.00578351358182934,0.002126341723793165,-0.006205425911150928,-0.005361601252507751
two_concepts,plain4_w64_gmp,retention_1,16,centered_logit_fidelity,random,100,0.0,0.0,0.0,0.0
two_concepts,res4_w16_gap,release_default,1,centered_logit_fidelity,random,100,-0.09288287121077418,0.047380453373416016,-0.10228418108651237,-0.083481561335036
two_concepts,res4_w16_gap,release_default,2,centered_logit_fidelity,random,100,-0.07265763327625357,0.07637148406088205,-0.08781139260539497,-0.05750387394711217
two_concepts,res4_w16_gap,release_default,3,centered_logit_fidelity,random,100,-0.048737928605489776,0.09244942527444662,-0.06708190028488765,-0.0303939569260919
two_concepts,res4_w16_gap,release_default,4,centered_logit_fidelity,random,100,-0.04104688692504274,0.09207963790411122,-0.059317484767570414,-0.022776289082515073
two_concepts,res4_w16_gap,release_default,5,centered_logit_fidelity,random,100,-0.03375444141788929,0.08817141454847902,-0.05124956295713382,-0.016259319878644755
two_concepts,res4_w16_gap,release_default,6,centered_logit_fidelity,random,100,-0.03680699682676873,0.07649738099784394,-0.051985736839557393,-0.02162825681398007
two_concepts,res4_w16_gap,release_default,7,centered_logit_fidelity,random,100,-0.04489654156075308,0.07080946598939185,-0.058946675835646396,-0.030846407285859766
two_concepts,res4_w16_gap,release_default,8,centered_logit_fidelity,random,100,-0.041487883184663864,0.060389657701883,-0.053470501435921615,-0.029505264933406113
two_concepts,res4_w16_gap,release_default,9,centered_logit_fidelity,random,100,-0.039229951277104644,0.051156140622427015,-0.04938043941718047,-0.029079463137028822
two_concepts,res4_w16_gap,release_default,10,centered_logit_fidelity,random,100,-0.03448643254924128,0.042112796064718364,-0.04284252493227288,-0.026130340166209687
two_concepts,res4_w16_gap,release_default,11,centered_logit_fidelity,random,100,-0.03252266689281178,0.03777701337942271,-0.04001844592558752,-0.02502688786003604
two_concepts,res4_w16_gap,release_default,12,centered_logit_fidelity,random,100,-0.023940122025935175,0.028347791463192468,-0.029564938862065498,-0.018315305189804853
two_concepts,res4_w16_gap,release_default,13,centered_logit_fidelity,random,100,-0.0163216640967412,0.020563058945130983,-0.02040182111028116,-0.012241507083201241
two_concepts,res4_w16_gap,release_default,14,centered_logit_fidelity,random,100,-0.006430956976022797,0.012622610982546923,-0.008935556844507846,-0.003926357107537749
two_concepts,res4_w16_gap,release_default,15,centered_logit_fidelity,random,100,-0.0007813927795436309,0.0059071182387324785,-0.0019534931939754595,0.0003907076348881975
two_concepts,res4_w16_gap,release_default,16,centered_logit_fidelity,random,100,0.0,0.0,0.0,0.0
two_concepts,res4_w16_gap,retention_1,1,centered_logit_fidelity,random,100,-0.1246868426299622,0.045979155238379525,-0.1338101045543238,-0.11556358070560059
two_concepts,res4_w16_gap,retention_1,2,centered_logit_fidelity,random,100,-0.2267539049557881,0.0653364761040568,-0.23971807930004713,-0.21378973061152906
two_concepts,res4_w16_gap,retention_1,3,centered_logit_fidelity,random,100,-0.2751340618045581,0.10679063992782772,-0.29632364160611385,-0.2539444820030024
