task,architecture,block,metric,delta
single_shape,bn2_w16_gap,6064,prob_input_effect_mpp,0.12213796377182007
single_shape,bn2_w16_gap,6065,prob_input_effect_mpp,0.07866930961608887
single_shape,bn2_w16_gap,6066,prob_input_effect_mpp,0.18298965692520142
single_shape,bn2_w16_gap,6067,prob_input_effect_mpp,0.1654103696346283
single_shape,bn2_w16_gap,6068,prob_input_effect_mpp,0.10736674070358276
single_shape,bn2_w16_gap,6069,prob_input_effect_mpp,0.2981264293193817
single_shape,bn2_w16_gap,6070,prob_input_effect_mpp,0.15277522802352905
single_shape,bn2_w16_gap,6071,prob_input_effect_mpp,0.16705742478370667
single_shape,bn2_w16_gap,6072,prob_input_effect_mpp,0.25752806663513184
single_shape,bn2_w16_gap,6073,prob_input_effect_mpp,0.4140273332595825
single_shape,bn2_w16_gap,6074,prob_input_effect_mpp,0.14346545934677124
single_shape,bn2_w16_gap,6075,prob_input_effect_mpp,0.2280481457710266
single_shape,bn2_w16_gap,6076,prob_input_effect_mpp,0.07593593001365662
single_shape,bn2_w16_gap,6077,prob_input_effect_mpp,0.33935895562171936
single_shape,bn2_w16_gap,6078,prob_input_effect_mpp,0.37096214294433594
single_shape,bn2_w16_gap,6079,prob_input_effect_mpp,0.2620690166950226
single_shape,bn2_w16_gap,6080,prob_input_effect_mpp,0.07781600952148438
single_shape,bn2_w16_gap,6081,prob_input_effect_mpp,0.2055664360523224
single_shape,bn2_w16_gap,6082,prob_input_effect_mpp,0.10106858611106873
single_shape,bn2_w16_gap,6083,prob_input_effect_mpp,0.0788322389125824
single_shape,bn2_w16_gap,6084,prob_input_effect_mpp,0.16695773601531982
single_shape,bn2_w16_gap,6085,prob_input_effect_mpp,0.146112322807312
single_shape,bn2_w16_gap,6086,prob_input_effect_mpp,0.20796087384223938
single_shape,bn2_w16_gap,6087,prob_input_effect_mpp,0.3572368323802948
single_shape,bn2_w16_gap,6088,prob_input_effect_mpp,0.07499313354492188
single_shape,bn2_w16_gap,6089,prob_input_effect_mpp,0.0983712375164032
single_shape,bn2_w16_gap,6090,prob_input_effect_mpp,0.1686922013759613
single_shape,bn2_w16_gap,6091,prob_input_effect_mpp,0.09741416573524475
single_shape,bn2_w16_gap,6092,prob_input_effect_mpp,0.1464356780052185
single_shape,bn2_w16_gap,6093,prob_input_effect_mpp,0.1353270411491394
single_shape,bn2_w16_gap,6094,prob_input_effect_mpp,0.258421927690506
single_shape,bn2_w16_gap,6095,prob_input_effect_mpp,0.3830946683883667
single_shape,bn2_w16_gap,6096,prob_input_effect_mpp,0.12086910009384155
single_shape,bn2_w16_gap,6097,prob_input_effect_mpp,0.19120606780052185
single_shape,bn2_w16_gap,6098,prob_input_effect_mpp,0.12971779704093933
single_shape,bn2_w16_gap,6099,prob_input_effect_mpp,0.3077533543109894
single_shape,bn2_w16_gmp,6000,prob_input_effect_mpp,0.0017236769199371338
single_shape,bn2_w16_gmp,6001,prob_input_effect_mpp,-0.0014186501502990723
single_shape,bn2_w16_gmp,6002,prob_input_effect_mpp,0.0042397379875183105
single_shape,bn2_w16_gmp,6003,prob_input_effect_mpp,0.003151148557662964
single_shape,bn2_w16_gmp,6004,prob_input_effect_mpp,0.0032219290733337402
single_shape,bn2_w16_gmp,6005,prob_input_effect_mpp,0.0013762116432189941
single_shape,bn2_w16_gmp,6006,prob_input_effect_mpp,0.00040403008460998535
