task,metric,family,contrast,block,difference
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6089,0.046875522728932514
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6090,-0.10484339987958438
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6091,-0.11634993706386476
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6092,-0.09374505181304682
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6093,0.03516820257518134
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6094,-0.05495187479093225
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6095,-0.06803355060971454
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6096,0.09975527093264204
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6097,0.0039471411757514285
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6098,-0.11977004432918396
single_shape,centered_logit_fidelity,pooling,plain2_w16: GAP - GMP,6099,-0.06998574855581956
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6000,0.20999152649923375
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6001,0.24861179488169252
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6002,-0.12012540205965386
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6003,0.061622258842253
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6004,0.1916420188506608
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6005,0.14394606865306203
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6006,0.29737559395457436
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6007,0.19979966585480372
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6008,0.12029972807876502
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6009,0.6321383298961337
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6010,-0.027436397579608474
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6011,0.043850210129329506
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6012,-0.003195654424739555
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6013,0.17127183298792859
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6014,0.08700190974165571
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6015,0.17190376372190286
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6016,0.16797371506507897
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6017,0.06881873810333143
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6018,0.013707035397562614
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6019,0.43364463100304096
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6020,0.07959122068305777
