task,metric,contrast,block,architecture,difference
single_shape,centered_logit_fidelity,structured - pixel_permuted,7047,plain2_w16_gap,-0.1035417583464526
single_shape,centered_logit_fidelity,structured - pixel_permuted,7047,plain2_w16_gmp,0.048859239991322356
single_shape,centered_logit_fidelity,structured - pixel_permuted,7047,tiny_gap,0.023390905393973482
single_shape,centered_logit_fidelity,structured - pixel_permuted,7047,tiny_gmp,0.10654835425490708
single_shape,centered_logit_fidelity,structured - pixel_permuted,7048,plain2_w16_gap,-0.04224480787487474
single_shape,centered_logit_fidelity,structured - pixel_permuted,7048,plain2_w16_gmp,0.007660773600750265
single_shape,centered_logit_fidelity,structured - pixel_permuted,7048,tiny_gap,0.04002535435588066
single_shape,centered_logit_fidelity,structured - pixel_permuted,7048,tiny_gmp,0.05967029794368932
single_shape,centered_logit_fidelity,structured - pixel_permuted,7049,plain2_w16_gap,0.14365073795625602
single_shape,centered_logit_fidelity,structured - pixel_permuted,7049,plain2_w16_gmp,0.06407409130481397
single_shape,centered_logit_fidelity,structured - pixel_permuted,7049,tiny_gap,-0.02206115518640643
single_shape,centered_logit_fidelity,structured - pixel_permuted,7049,tiny_gmp,0.047900690088195585
single_shape,centered_logit_fidelity,structured - pixel_permuted,7050,plain2_w16_gap,0.18803931495412543
single_shape,centered_logit_fidelity,structured - pixel_permuted,7050,plain2_w16_gmp,0.04104974608070601
single_shape,centered_logit_fidelity,structured - pixel_permuted,7050,tiny_gap,0.04017689219878212
single_shape,centered_logit_fidelity,structured - pixel_permuted,7050,tiny_gmp,0.07102462137739342
single_shape,centered_logit_fidelity,structured - pixel_permuted,7051,plain2_w16_gap,-0.01883221125941971
single_shape,centered_logit_fidelity,structured - pixel_permuted,7051,plain2_w16_gmp,0.03388111282771829
single_shape,centered_logit_fidelity,structured - pixel_permuted,7051,tiny_gap,0.0005408036447853148
single_shape,centered_logit_fidelity,structured - pixel_permuted,7051,tiny_gmp,0.057612920466197065
single_shape,centered_logit_fidelity,structured - pixel_permuted,7052,plain2_w16_gap,0.03097618442721574
single_shape,centered_logit_fidelity,structured - pixel_permuted,7052,plain2_w16_gmp,0.0556312022104352
single_shape,centered_logit_fidelity,structured - pixel_permuted,7052,tiny_gap,-0.004427856139041175
single_shape,centered_logit_fidelity,structured - pixel_permuted,7052,tiny_gmp,0.012814167081905137
single_shape,centered_logit_fidelity,structured - pixel_permuted,7053,plain2_w16_gap,-0.08390623774118516
single_shape,centered_logit_fidelity,structured - pixel_permuted,7053,plain2_w16_gmp,0.07443061951669895
single_shape,centered_logit_fidelity,structured - pixel_permuted,7053,tiny_gap,-0.022310830662744516
single_shape,centered_logit_fidelity,structured - pixel_permuted,7053,tiny_gmp,0.06562217447767486
single_shape,centered_logit_fidelity,structured - pixel_permuted,7054,plain2_w16_gap,-0.08178695080512598
single_shape,centered_logit_fidelity,structured - pixel_permuted,7054,plain2_w16_gmp,0.04753004173026751
single_shape,centered_logit_fidelity,structured - pixel_permuted,7054,tiny_gap,0.05516939929930968
single_shape,centered_logit_fidelity,structured - pixel_permuted,7054,tiny_gmp,0.03515359263736559
single_shape,centered_logit_fidelity,structured - pixel_permuted,7055,plain2_w16_gap,0.027437430252437875
single_shape,centered_logit_fidelity,structured - pixel_permuted,7055,plain2_w16_gmp,0.0714505341474376
single_shape,centered_logit_fidelity,structured - pixel_permuted,7055,tiny_gap,0.020071223897145066
single_shape,centered_logit_fidelity,structured - pixel_permuted,7055,tiny_gmp,0.027896301487075267
single_shape,centered_logit_fidelity,structured - pixel_permuted,7056,plain2_w16_gap,0.08790899665068216
single_shape,centered_logit_fidelity,structured - pixel_permuted,7056,plain2_w16_gmp,0.06474146191231128
