task,architecture,anchor_family,block,metric,value_kind,B,init_reps
single_shape,plain2_w16_gap,pixel_permuted_template,7039,centered_logit_fidelity,random,-0.012322725567433837,4
single_shape,plain2_w16_gap,pixel_permuted_template,7039,prob_error_reduction,random,0.08714935835450888,4
single_shape,plain2_w16_gap,pixel_permuted_template,7040,centered_logit_fidelity,random,-0.004280192850824207,4
single_shape,plain2_w16_gap,pixel_permuted_template,7040,prob_error_reduction,random,0.1243274612352252,4
single_shape,plain2_w16_gap,pixel_permuted_template,7041,centered_logit_fidelity,random,0.002382371593182886,4
single_shape,plain2_w16_gap,pixel_permuted_template,7041,prob_error_reduction,random,0.07118265982717276,4
single_shape,plain2_w16_gap,pixel_permuted_template,7042,centered_logit_fidelity,random,-6.754488143720545e-05,4
single_shape,plain2_w16_gap,pixel_permuted_template,7042,prob_error_reduction,random,0.10367549024522305,4
single_shape,plain2_w16_gap,pixel_permuted_template,7043,centered_logit_fidelity,random,0.001075561098045184,4
single_shape,plain2_w16_gap,pixel_permuted_template,7043,prob_error_reduction,random,0.08790030423551798,4
single_shape,plain2_w16_gap,pixel_permuted_template,7044,centered_logit_fidelity,random,0.019605233175721822,4
single_shape,plain2_w16_gap,pixel_permuted_template,7044,prob_error_reduction,random,0.06214411836117506,4
single_shape,plain2_w16_gap,pixel_permuted_template,7045,centered_logit_fidelity,random,0.001745511010279862,4
single_shape,plain2_w16_gap,pixel_permuted_template,7045,prob_error_reduction,random,0.08992758672684431,4
single_shape,plain2_w16_gap,pixel_permuted_template,7046,centered_logit_fidelity,random,-0.0016829744058345433,4
single_shape,plain2_w16_gap,pixel_permuted_template,7046,prob_error_reduction,random,0.09413185343146324,4
single_shape,plain2_w16_gap,pixel_permuted_template,7047,centered_logit_fidelity,random,-0.0040164642348642,4
single_shape,plain2_w16_gap,pixel_permuted_template,7047,prob_error_reduction,random,0.11497402563691139,4
single_shape,plain2_w16_gap,pixel_permuted_template,7048,centered_logit_fidelity,random,0.017484468935352097,4
single_shape,plain2_w16_gap,pixel_permuted_template,7048,prob_error_reduction,random,0.09572117356583476,4
