task,architecture,anchor_family,quantity,retention_mean,release_mean,delta_n,delta_mean,delta_sd,delta_ci_low,delta_ci_high
two_concepts,plain2_w16_gmp,structured_template,structured_template_alignment,0.9988403429357049,0.8998238645493748,100,0.09901647838633039,0.006121603726985214,0.09780181939773253,0.10023113737492825
two_concepts,tiny_gap,pixel_permuted_template,structured_template_alignment,0.16622629710670345,0.34824263554751844,100,-0.1820163384408149,0.0253002221022096,-0.18703645139822547,-0.17699622548340435
two_concepts,tiny_gap,random_fullrank,structured_template_alignment,0.16114957035434846,0.34875972636379726,100,-0.18761015600944883,0.019859250213213227,-0.19155066210133423,-0.18366964991756343
two_concepts,tiny_gap,random_rank10,structured_template_alignment,0.15928492028906632,0.3468361964497386,100,-0.18755127616067224,0.020973396638997055,-0.1917128530750166,-0.1833896992463279
two_concepts,tiny_gap,structured_template,structured_template_alignment,0.9989137752202312,0.590290207608173,100,0.40862356761205826,0.008761924101206487,0.4068850117790455,0.410362123445071
two_concepts,tiny_gmp,pixel_permuted_template,structured_template_alignment,0.18181897790608925,0.22923705297775512,100,-0.0474180750716659,0.011724540179460405,-0.04974447820903004,-0.04509167193430176
two_concepts,tiny_gmp,random_fullrank,structured_template_alignment,0.17836719400806977,0.22642388211675524,100,-0.048056688108685484,0.008853248968793762,-0.049813364776735036,-0.04630001144063593
two_concepts,tiny_gmp,random_rank10,structured_template_alignment,0.17525573027034055,0.22240582573056517,100,-0.04715009546022466,0.008578558569309495,-0.048852267593564744,-0.045447923326884576
two_concepts,tiny_gmp,structured_template,structured_template_alignment,0.942645156123518,0.5731795377669227,100,0.3694656183565956,0.01107901881303319,0.36726730066301905,0.3716639360501721
single_shape,plain2_w16_gap,pixel_permuted_template,test_acc,0.965537109375,0.99005859375,100,-0.024521484375,0.010309670921092163,-0.02656714675569086,-0.02247582199430914
single_shape,plain2_w16_gap,random_fullrank,test_acc,0.968466796875,0.9908203125,100,-0.022353515625,0.01059445865409484,-0.024455686070433642,-0.02025134517956636
single_shape,plain2_w16_gap,random_rank10,test_acc,0.9662890625,0.990048828125,100,-0.023759765625,0.01052069763773643,-0.02584730028453118,-0.021672230965468817
single_shape,plain2_w16_gap,structured_template,test_acc,0.9757421875,0.996328125,100,-0.0205859375,0.008691167952626432,-0.022310453778068597,-0.0188614212219314
single_shape,plain2_w16_gmp,pixel_permuted_template,test_acc,0.99982421875,0.999853515625,100,-2.9296875e-05,0.00040360287375254154,-0.00010938044138087856,5.078669138087856e-05
single_shape,plain2_w16_gmp,random_fullrank,test_acc,0.99994140625,0.999951171875,100,-9.765625e-06,0.00029428104660139085,-6.815736911970722e-05,4.862611911970721e-05
single_shape,plain2_w16_gmp,random_rank10,test_acc,0.9999609375,0.999931640625,100,2.9296875e-05,0.00021748193686876331,-1.3856259579884718e-05,7.245000957988471e-05
single_shape,plain2_w16_gmp,structured_template,test_acc,0.999736328125,0.99982421875,100,-8.7890625e-05,0.0004827256547106546,-0.00018367386770425326,7.892617704253251e-06
single_shape,tiny_gap,pixel_permuted_template,test_acc,0.595625,0.91861328125,100,-0.32298828125,0.028901817404735602,-0.3287230288526132,-0.31725353364738684
single_shape,tiny_gap,random_fullrank,test_acc,0.600810546875,0.91951171875,100,-0.318701171875,0.028346449252247746,-0.3243257223873594,-0.31307662136264064
single_shape,tiny_gap,random_rank10,test_acc,0.59865234375,0.91998046875,100,-0.321328125,0.029309340782256357,-0.32714373408199765,-0.3155125159180024
single_shape,tiny_gap,structured_template,test_acc,0.622509765625,0.93353515625,100,-0.311025390625,0.02484003193202667,-0.3159541918687475,-0.3060965893812525
single_shape,tiny_gmp,pixel_permuted_template,test_acc,0.999521484375,0.999931640625,100,-0.00041015625,0.0008463541666666666,-0.0005780912784545796,-0.00024222122154542042
single_shape,tiny_gmp,random_fullrank,test_acc,0.999619140625,0.999990234375,100,-0.00037109375,0.0008417891162943087,-0.0005381229734212117,-0.00020406452657878828
single_shape,tiny_gmp,random_rank10,test_acc,0.99966796875,0.999990234375,100,-0.000322265625,0.0008674326501640504,-0.0004943830818815039,-0.0001501481681184961
single_shape,tiny_gmp,structured_template,test_acc,0.999453125,0.999931640625,100,-0.000478515625,0.0010056721280247254,-0.0006780627934164646,-0.00027896845658353545
two_concepts,plain2_w16_gap,pixel_permuted_template,test_acc,0.8533203125,0.929580078125,100,-0.076259765625,0.03239191627256681,-0.0826870245612395,-0.06983250668876051
two_concepts,plain2_w16_gap,random_fullrank,test_acc,0.878701171875,0.936298828125,100,-0.05759765625,0.020968825429905236,-0.06175832613728743,-0.05343698636271257
two_concepts,plain2_w16_gap,random_rank10,test_acc,0.86791015625,0.932939453125,100,-0.065029296875,0.023543750100947048,-0.06970088768042136,-0.060357706069578645
two_concepts,plain2_w16_gap,structured_template,test_acc,0.826142578125,0.929677734375,100,-0.10353515625,0.02419785897146016,-0.10833653644632686,-0.09873377605367313
two_concepts,plain2_w16_gmp,pixel_permuted_template,test_acc,0.9920703125,0.993134765625,100,-0.001064453125,0.002368180587633039,-0.0015343515316399358,-0.0005945547183600642
two_concepts,plain2_w16_gmp,random_fullrank,test_acc,0.993876953125,0.994248046875,100,-0.00037109375,0.0019814276670988423,-0.0007642519865399852,2.2064486539985137e-05
two_concepts,plain2_w16_gmp,random_rank10,test_acc,0.99357421875,0.99416015625,100,-0.0005859375,0.002314300993846727,-0.0010451450263063969,-0.00012672997369360313
two_concepts,plain2_w16_gmp,structured_template,test_acc,0.99068359375,0.99310546875,100,-0.002421875,0.00268244680891433,-0.0029541306429976704,-0.0018896193570023295
two_concepts,tiny_gap,pixel_permuted_template,test_acc,0.411708984375,0.832919921875,100,-0.4212109375,0.03623753656616512,-0.42840125093383175,-0.41402062406616824
two_concepts,tiny_gap,random_fullrank,test_acc,0.414580078125,0.845029296875,100,-0.43044921875,0.03792170503507617,-0.4379737077463658,-0.42292472975363415
two_concepts,tiny_gap,random_rank10,test_acc,0.41326171875,0.84111328125,100,-0.4278515625,0.03712917093937435,-0.43521879553762566,-0.42048432946237435
two_concepts,tiny_gap,structured_template,test_acc,0.432646484375,0.790400390625,100,-0.35775390625,0.03417115243362572,-0.3645342042414043,-0.35097360825859564
two_concepts,tiny_gmp,pixel_permuted_template,test_acc,0.975927734375,0.993134765625,100,-0.01720703125,0.009341916880892764,-0.019060670233537875,-0.015353392266462127
two_concepts,tiny_gmp,random_fullrank,test_acc,0.976923828125,0.993076171875,100,-0.01615234375,0.007869529263632177,-0.017713829086590433,-0.014590858413409565
two_concepts,tiny_gmp,random_rank10,test_acc,0.97580078125,0.99345703125,100,-0.01765625,0.009369614206865488,-0.01951538473390874,-0.015797115266091257
two_concepts,tiny_gmp,structured_template,test_acc,0.978330078125,0.994287109375,100,-0.01595703125,0.007841078765199318,-0.01751287139046328,-0.014401191109536722
