task,architecture,anchor_family,block,init_rep,treatment,anchor_rank,anchor_max_abs_row_mean,anchor_max_abs_row_norm_error,anchor_max_abs_gram_error_vs_structured,anchor_sha256
single_shape,plain2_w16_gap,pixel_permuted_template,7012,3,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,3f048404d6226ef8c2f3f8b73ca8de87f706288632b633118b74534db140bf69
single_shape,plain2_w16_gap,pixel_permuted_template,7013,0,release_default,10,1.437226195394257e-09,1.219202161450994e-08,5.551115123125783e-16,27e9e65baded53751bac6076001c9e71c71b056ac3beebc5f162b35bee1d1f05
single_shape,plain2_w16_gap,pixel_permuted_template,7013,1,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,2.7755575615628914e-16,3f757b29434b2a4293480e2de47bf590e6d4098a0fc5d7897fa2658bc6c7c6e1
single_shape,plain2_w16_gap,pixel_permuted_template,7013,2,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,63693e14f8ed6f0302414d535ab453f02feb5d8c9895a40a13c233e2f73dc30f
single_shape,plain2_w16_gap,pixel_permuted_template,7013,3,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,59381344bad692b2919dca06e970f5c25ec6c7e0f1afe4c6673d5db72376cc05
single_shape,plain2_w16_gap,pixel_permuted_template,7014,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,4583d9e9e019f8199d37ddc52a3ccacf86480022141a0cd0e03a0c2b416db90d
single_shape,plain2_w16_gap,pixel_permuted_template,7014,1,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,8b34b71bb46251e171fecd27fb1ba08c2e15aec2fa01ec861d86cfb6a44402e7
single_shape,plain2_w16_gap,pixel_permuted_template,7014,2,release_default,10,1.437226195394257e-09,1.219202161450994e-08,4.440892098500626e-16,2c78e005a188df8f3abab3abdc4e52d62b6f878499f4406e3c69ab8841bc28de
single_shape,plain2_w16_gap,pixel_permuted_template,7014,3,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,be8c39e9f0bc91d5a1b17907d02705a9c8a207cfe06cc587e1e63db30f5d169e
single_shape,plain2_w16_gap,pixel_permuted_template,7015,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,a169701a75bd18b9c0481fa1727b5fbe6b9b3783b861f2817662d1f522b414bc
single_shape,plain2_w16_gap,pixel_permuted_template,7015,1,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,3.3306690738754696e-16,19c42e4e55ac33e5dd11935e8547914d5e720e7e3baa2e45152d7597426e6aa2
single_shape,plain2_w16_gap,pixel_permuted_template,7015,2,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,3.3306690738754696e-16,2f06a2f0b9c5de95546e9ac6aae671a5e9e512b7ac5d1766ae7273e52cc11c39
single_shape,plain2_w16_gap,pixel_permuted_template,7015,3,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,81a9602f67032883b6caa78b9dde6a2b0ac5c77e7c7b9fc0b12ae30afff99c2e
single_shape,plain2_w16_gap,pixel_permuted_template,7016,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,ba77402ec3a0b97af966c81831981452e0df7b4173b6e582b965f04a3418e9aa
single_shape,plain2_w16_gap,pixel_permuted_template,7016,1,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,96e16a8e7be6ff8fd6ed4ed73ee5d226f0168e166d899b697b103a1ecfa7624c
single_shape,plain2_w16_gap,pixel_permuted_template,7016,2,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,6.661338147750939e-16,f01c62d462d4277018ae37258d9e20bb86e6141bec8f0f19057637d3d651ebbb
single_shape,plain2_w16_gap,pixel_permuted_template,7016,3,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,6.661338147750939e-16,3aa16385f82e5cf06aed8ac6c7dfea590b49a06b679cb1f2fd8c70da387f899a
single_shape,plain2_w16_gap,pixel_permuted_template,7017,0,release_default,10,1.437226195394257e-09,1.219202161450994e-08,4.440892098500626e-16,e02fae47ff19ecd5918be58c47491cdcaa340021fabb80646a77ec8ff818606f
