task,metric,contrast,architecture,n,mean,sd,ci_low,ci_high,t_stat,p_two_sided,p_holm_within_task_metric_contrast
two_concepts,centered_logit_fidelity,pixel_permuted - random_rank10,tiny_gap,100,-0.0013293919232859272,0.0737024071572612,-0.015953548488702105,0.013294764642130249,-0.18037293143619595,0.8572285157775653,1.0
two_concepts,centered_logit_fidelity,pixel_permuted - random_rank10,tiny_gmp,100,0.001220190905951518,0.03426823208180185,-0.005579369793809355,0.00801975160571239,0.3560705737718814,0.722545379659711,1.0
two_concepts,centered_logit_fidelity,random_rank10 - random_fullrank,plain2_w16_gap,100,-0.0036341507601556737,0.09541482930978723,-0.02256652293507611,0.015298221414764761,-0.38087902964816167,0.7041091053215667,1.0
two_concepts,centered_logit_fidelity,random_rank10 - random_fullrank,plain2_w16_gmp,100,0.0009069906245875231,0.0368288019755765,-0.0064006426940683,0.008214623943243345,0.24627209573338976,0.8059815052691324,1.0
two_concepts,centered_logit_fidelity,random_rank10 - random_fullrank,tiny_gap,100,0.0023164326405589047,0.06827870738263883,-0.011231544221545157,0.015864409502662966,0.33926134945371006,0.7351314642126747,1.0
two_concepts,centered_logit_fidelity,random_rank10 - random_fullrank,tiny_gmp,100,0.0009040142754213391,0.03658601757731813,-0.006355445351373986,0.008163473902216663,0.24709283362444778,0.8053480665876545,1.0
two_concepts,centered_logit_fidelity,structured - random_fullrank,plain2_w16_gap,100,0.08281615834902936,0.1208059234602739,0.05884564223083669,0.10678667446722204,6.855306095670285,6.161843315192456e-10,6.161843315192456e-10
two_concepts,centered_logit_fidelity,structured - random_fullrank,plain2_w16_gmp,100,-0.03981543323283099,0.03619274743995491,-0.04699685953231543,-0.032634006933346546,-11.000942467516799,7.267257684058295e-19,2.1801773052174886e-18
two_concepts,centered_logit_fidelity,structured - random_fullrank,tiny_gap,100,0.07789061986219317,0.07094227110579257,0.06381413417097788,0.09196710555340847,10.979437033533769,8.090505387477962e-19,2.1801773052174886e-18
two_concepts,centered_logit_fidelity,structured - random_fullrank,tiny_gmp,100,0.10836069826675887,0.05088091180136757,0.09826482149591417,0.11845657503760357,21.296925395084283,9.575510599621125e-39,3.83020423984845e-38
two_concepts,prob_error_reduction,structured - pixel_permuted,plain2_w16_gap,100,0.02056790825794451,0.1062042922482679,-0.0005053274430805998,0.04164114395896962,1.9366362528798784,0.055640940735850845,0.055640940735850845
two_concepts,prob_error_reduction,structured - pixel_permuted,plain2_w16_gmp,100,-0.08066750062629581,0.09774927983103053,-0.10006307843090531,-0.06127192282168631,-8.252490531463526,6.887057442582718e-13,1.3774114885165435e-12
two_concepts,prob_error_reduction,structured - pixel_permuted,tiny_gap,100,0.043080657710997915,0.018652677076755886,0.039379561906181276,0.04678175351581455,23.096233068165354,1.1825521869595823e-41,4.730208747838329e-41
two_concepts,prob_error_reduction,structured - pixel_permuted,tiny_gmp,100,0.1995308280050449,0.10692831021774105,0.17831393143119162,0.22074772457889819,18.660243260062263,3.4675743636431154e-34,1.0402723090929346e-33
two_concepts,prob_error_reduction,pixel_permuted - random_rank10,plain2_w16_gap,100,-0.002799255372956395,0.09875367054806286,-0.02239412608624106,0.01679561534032827,-0.28345836234958105,0.7774174122722964,1.0
two_concepts,prob_error_reduction,pixel_permuted - random_rank10,plain2_w16_gmp,100,-0.0011438760906457902,0.08819132781562623,-0.01864294885411382,0.016355196672822238,-0.12970391975922965,0.897063846390912,1.0
two_concepts,prob_error_reduction,pixel_permuted - random_rank10,tiny_gap,100,-0.0035378174161087373,0.019854513015008374,-0.007477383545096013,0.0004017487128785387,-1.7818706575348582,0.07783639734579688,0.3113455893831875
two_concepts,prob_error_reduction,pixel_permuted - random_rank10,tiny_gmp,100,0.004045716050859483,0.08269528654339849,-0.012362822886711257,0.020454254988430225,0.4892317591446147,0.6257598105476918,1.0
two_concepts,prob_error_reduction,random_rank10 - random_fullrank,plain2_w16_gap,100,0.004719444183865562,0.0906442098895163,-0.013266333598727979,0.0227052219664591,0.5206558907202083,0.6037690442525455,1.0
two_concepts,prob_error_reduction,random_rank10 - random_fullrank,plain2_w16_gmp,100,-0.0017816745676100254,0.09814446865157107,-0.02125566640789893,0.01769231727267888,-0.18153591252658993,0.8563181100246435,1.0
two_concepts,prob_error_reduction,random_rank10 - random_fullrank,tiny_gap,100,-0.002973656197646051,0.01743563788711249,-0.00643326502337915,0.00048595262808704765,-1.7055046777749505,0.09123613460891113,0.3649445384356445
two_concepts,prob_error_reduction,random_rank10 - random_fullrank,tiny_gmp,100,-0.006188234651162929,0.08532471036554432,-0.023118508320814364,0.010742039018488504,-0.7252570356994558,0.4700052114536345,1.0
two_concepts,prob_error_reduction,structured - random_fullrank,plain2_w16_gap,100,0.022488097068853675,0.11686807128286786,-0.0007010637450139447,0.0456772578827213,1.9242293315873595,0.057197389834007746,0.057197389834007746
two_concepts,prob_error_reduction,structured - random_fullrank,plain2_w16_gmp,100,-0.08359305128455162,0.09582517249955541,-0.10260684445078266,-0.06457925811832058,-8.723496040139084,6.605463317003557e-14,1.3210926634007114e-13
two_concepts,prob_error_reduction,structured - random_fullrank,tiny_gap,100,0.03656918409724312,0.017597090610636083,0.03307753954842049,0.04006082864606575,20.78138080117623,6.983305663768299e-38,2.7933222655073195e-37
two_concepts,prob_error_reduction,structured - random_fullrank,tiny_gmp,100,0.19738830940474145,0.10728634000797899,0.17610037195299186,0.21867624685649104,18.398270403302185,1.0308479843714052e-33,3.0925439531142155e-33
