task,architecture,anchor_family,block,metric,value_kind,B,init_reps
single_shape,plain2_w16_gap,pixel_permuted_template,7055,prob_error_reduction,selected,0.12225606292486191,4
single_shape,plain2_w16_gap,pixel_permuted_template,7056,centered_logit_fidelity,selected,0.03357755126534627,4
single_shape,plain2_w16_gap,pixel_permuted_template,7056,prob_error_reduction,selected,0.1534950640052557,4
single_shape,plain2_w16_gap,pixel_permuted_template,7057,centered_logit_fidelity,selected,0.03324172753518073,4
single_shape,plain2_w16_gap,pixel_permuted_template,7057,prob_error_reduction,selected,0.11615868657827377,4
single_shape,plain2_w16_gap,pixel_permuted_template,7058,centered_logit_fidelity,selected,-0.007783946193689745,4
single_shape,plain2_w16_gap,pixel_permuted_template,7058,prob_error_reduction,selected,0.13177387043833733,4
single_shape,plain2_w16_gap,pixel_permuted_template,7059,centered_logit_fidelity,selected,-0.0006227032505670971,4
single_shape,plain2_w16_gap,pixel_permuted_template,7059,prob_error_reduction,selected,0.18566517531871796,4
single_shape,plain2_w16_gap,pixel_permuted_template,7060,centered_logit_fidelity,selected,0.03510234782651875,4
single_shape,plain2_w16_gap,pixel_permuted_template,7060,prob_error_reduction,selected,0.18707817792892456,4
single_shape,plain2_w16_gap,pixel_permuted_template,7061,centered_logit_fidelity,selected,-0.006016227521299891,4
single_shape,plain2_w16_gap,pixel_permuted_template,7061,prob_error_reduction,selected,0.21137873642146587,4
single_shape,plain2_w16_gap,pixel_permuted_template,7062,centered_logit_fidelity,selected,0.0040500696808972725,4
single_shape,plain2_w16_gap,pixel_permuted_template,7062,prob_error_reduction,selected,0.17762264609336853,4
single_shape,plain2_w16_gap,pixel_permuted_template,7063,centered_logit_fidelity,selected,0.0012421237500607196,4
single_shape,plain2_w16_gap,pixel_permuted_template,7063,prob_error_reduction,selected,0.11720738932490349,4
single_shape,plain2_w16_gap,pixel_permuted_template,7064,centered_logit_fidelity,selected,0.06936811042834956,4
single_shape,plain2_w16_gap,pixel_permuted_template,7064,prob_error_reduction,selected,0.20979531854391098,4
single_shape,plain2_w16_gap,pixel_permuted_template,7065,centered_logit_fidelity,selected,0.07687272929579649,4
single_shape,plain2_w16_gap,pixel_permuted_template,7065,prob_error_reduction,selected,0.08984583616256714,4
single_shape,plain2_w16_gap,pixel_permuted_template,7066,centered_logit_fidelity,selected,0.018527376518916353,4
single_shape,plain2_w16_gap,pixel_permuted_template,7066,prob_error_reduction,selected,0.20615524798631668,4
single_shape,plain2_w16_gap,pixel_permuted_template,7067,centered_logit_fidelity,selected,0.02287931338372534,4
single_shape,plain2_w16_gap,pixel_permuted_template,7067,prob_error_reduction,selected,0.21508057788014412,4
single_shape,plain2_w16_gap,pixel_permuted_template,7068,centered_logit_fidelity,selected,0.01794028447786583,4
single_shape,plain2_w16_gap,pixel_permuted_template,7068,prob_error_reduction,selected,0.2143251821398735,4
single_shape,plain2_w16_gap,pixel_permuted_template,7069,centered_logit_fidelity,selected,0.03162001707975286,4
single_shape,plain2_w16_gap,pixel_permuted_template,7069,prob_error_reduction,selected,0.24832890927791595,4
single_shape,plain2_w16_gap,pixel_permuted_template,7070,centered_logit_fidelity,selected,0.08928452724384528,4
single_shape,plain2_w16_gap,pixel_permuted_template,7070,prob_error_reduction,selected,0.17768856696784496,4
single_shape,plain2_w16_gap,pixel_permuted_template,7071,centered_logit_fidelity,selected,0.08084804994850998,4
single_shape,plain2_w16_gap,pixel_permuted_template,7071,prob_error_reduction,selected,0.2590422760695219,4
single_shape,plain2_w16_gap,pixel_permuted_template,7072,centered_logit_fidelity,selected,0.045858848263865604,4
single_shape,plain2_w16_gap,pixel_permuted_template,7072,prob_error_reduction,selected,0.16703557036817074,4
single_shape,plain2_w16_gap,pixel_permuted_template,7073,centered_logit_fidelity,selected,0.06331524688383534,4
single_shape,plain2_w16_gap,pixel_permuted_template,7073,prob_error_reduction,selected,0.22356838919222355,4
single_shape,plain2_w16_gap,pixel_permuted_template,7074,centered_logit_fidelity,selected,0.05844004751951293,4
single_shape,plain2_w16_gap,pixel_permuted_template,7074,prob_error_reduction,selected,0.1812717691063881,4
single_shape,plain2_w16_gap,pixel_permuted_template,7075,centered_logit_fidelity,selected,0.11735187748769835,4
single_shape,plain2_w16_gap,pixel_permuted_template,7075,prob_error_reduction,selected,0.3060949742794037,4
single_shape,plain2_w16_gap,pixel_permuted_template,7076,centered_logit_fidelity,selected,0.019921763995709177,4
single_shape,plain2_w16_gap,pixel_permuted_template,7076,prob_error_reduction,selected,0.167027423158288,4
single_shape,plain2_w16_gap,pixel_permuted_template,7077,centered_logit_fidelity,selected,-0.03324832123223749,4
single_shape,plain2_w16_gap,pixel_permuted_template,7077,prob_error_reduction,selected,0.10167228057980537,4
single_shape,plain2_w16_gap,pixel_permuted_template,7078,centered_logit_fidelity,selected,0.0277232090084968,4
single_shape,plain2_w16_gap,pixel_permuted_template,7078,prob_error_reduction,selected,0.23256253264844418,4
single_shape,plain2_w16_gap,pixel_permuted_template,7079,centered_logit_fidelity,selected,0.024886438562843463,4
single_shape,plain2_w16_gap,pixel_permuted_template,7079,prob_error_reduction,selected,0.22819522768259048,4
single_shape,plain2_w16_gap,pixel_permuted_template,7080,centered_logit_fidelity,selected,-0.007620186397880979,4
single_shape,plain2_w16_gap,pixel_permuted_template,7080,prob_error_reduction,selected,0.08518637344241142,4
single_shape,plain2_w16_gap,pixel_permuted_template,7081,centered_logit_fidelity,selected,-0.02548794856825609,4
single_shape,plain2_w16_gap,pixel_permuted_template,7081,prob_error_reduction,selected,0.16983631625771523,4
single_shape,plain2_w16_gap,pixel_permuted_template,7082,centered_logit_fidelity,selected,-0.035714936095361166,4
single_shape,plain2_w16_gap,pixel_permuted_template,7082,prob_error_reduction,selected,0.06701042503118515,4
single_shape,plain2_w16_gap,pixel_permuted_template,7083,centered_logit_fidelity,selected,0.009999716546525816,4
single_shape,plain2_w16_gap,pixel_permuted_template,7083,prob_error_reduction,selected,0.161699328571558,4
single_shape,plain2_w16_gap,pixel_permuted_template,7084,centered_logit_fidelity,selected,0.010394899982755348,4
single_shape,plain2_w16_gap,pixel_permuted_template,7084,prob_error_reduction,selected,0.11609666980803013,4
single_shape,plain2_w16_gap,pixel_permuted_template,7085,centered_logit_fidelity,selected,0.07497646608369007,4
single_shape,plain2_w16_gap,pixel_permuted_template,7085,prob_error_reduction,selected,0.19452241994440556,4
single_shape,plain2_w16_gap,pixel_permuted_template,7086,centered_logit_fidelity,selected,0.06897280831867485,4
single_shape,plain2_w16_gap,pixel_permuted_template,7086,prob_error_reduction,selected,0.1003641951829195,4
single_shape,plain2_w16_gap,pixel_permuted_template,7087,centered_logit_fidelity,selected,0.07825039564375588,4
single_shape,plain2_w16_gap,pixel_permuted_template,7087,prob_error_reduction,selected,0.11547361314296722,4
single_shape,plain2_w16_gap,pixel_permuted_template,7088,centered_logit_fidelity,selected,-0.0642299392470171,4
single_shape,plain2_w16_gap,pixel_permuted_template,7088,prob_error_reduction,selected,0.19684871844947338,4
single_shape,plain2_w16_gap,pixel_permuted_template,7089,centered_logit_fidelity,selected,-0.009239577619050907,4
single_shape,plain2_w16_gap,pixel_permuted_template,7089,prob_error_reduction,selected,0.22276252135634422,4
single_shape,plain2_w16_gap,pixel_permuted_template,7090,centered_logit_fidelity,selected,0.01902270258244486,4
single_shape,plain2_w16_gap,pixel_permuted_template,7090,prob_error_reduction,selected,0.12580401450395584,4
single_shape,plain2_w16_gap,pixel_permuted_template,7091,centered_logit_fidelity,selected,0.045522732329750015,4
single_shape,plain2_w16_gap,pixel_permuted_template,7091,prob_error_reduction,selected,0.2230670414865017,4
single_shape,plain2_w16_gap,pixel_permuted_template,7092,centered_logit_fidelity,selected,0.023258356579374806,4
single_shape,plain2_w16_gap,pixel_permuted_template,7092,prob_error_reduction,selected,0.16649671830236912,4
single_shape,plain2_w16_gap,pixel_permuted_template,7093,centered_logit_fidelity,selected,-0.01303937505743695,4
single_shape,plain2_w16_gap,pixel_permuted_template,7093,prob_error_reduction,selected,0.19583775103092194,4
single_shape,plain2_w16_gap,pixel_permuted_template,7094,centered_logit_fidelity,selected,-0.03767521311266521,4
single_shape,plain2_w16_gap,pixel_permuted_template,7094,prob_error_reduction,selected,0.19429052621126175,4
single_shape,plain2_w16_gap,pixel_permuted_template,7095,centered_logit_fidelity,selected,0.0284550518256962,4
single_shape,plain2_w16_gap,pixel_permuted_template,7095,prob_error_reduction,selected,0.10333772748708725,4
single_shape,plain2_w16_gap,pixel_permuted_template,7096,centered_logit_fidelity,selected,0.03501665585258544,4
single_shape,plain2_w16_gap,pixel_permuted_template,7096,prob_error_reduction,selected,0.18641310185194016,4
single_shape,plain2_w16_gap,pixel_permuted_template,7097,centered_logit_fidelity,selected,0.02724997757375723,4
single_shape,plain2_w16_gap,pixel_permuted_template,7097,prob_error_reduction,selected,0.13500195741653442,4
single_shape,plain2_w16_gap,pixel_permuted_template,7098,centered_logit_fidelity,selected,-0.0040683289400858524,4
single_shape,plain2_w16_gap,pixel_permuted_template,7098,prob_error_reduction,selected,0.16301049664616585,4
single_shape,plain2_w16_gap,pixel_permuted_template,7099,centered_logit_fidelity,selected,0.06281943282247669,4
single_shape,plain2_w16_gap,pixel_permuted_template,7099,prob_error_reduction,selected,0.12596804276108742,4
single_shape,plain2_w16_gap,random_fullrank,7000,centered_logit_fidelity,selected,-0.033349822734262735,4
single_shape,plain2_w16_gap,random_fullrank,7000,prob_error_reduction,selected,0.03201187774538994,4
single_shape,plain2_w16_gap,random_fullrank,7001,centered_logit_fidelity,selected,0.007921099270739002,4
single_shape,plain2_w16_gap,random_fullrank,7001,prob_error_reduction,selected,0.19168808870017529,4
single_shape,plain2_w16_gap,random_fullrank,7002,centered_logit_fidelity,selected,-0.013255626560715578,4
single_shape,plain2_w16_gap,random_fullrank,7002,prob_error_reduction,selected,0.07778746262192726,4
single_shape,plain2_w16_gap,random_fullrank,7003,centered_logit_fidelity,selected,0.017523130937062634,4
single_shape,plain2_w16_gap,random_fullrank,7003,prob_error_reduction,selected,0.13357654213905334,4
single_shape,plain2_w16_gap,random_fullrank,7004,centered_logit_fidelity,selected,-0.032208108044754685,4
single_shape,plain2_w16_gap,random_fullrank,7004,prob_error_reduction,selected,0.07027041167020798,4
single_shape,plain2_w16_gap,random_fullrank,7005,centered_logit_fidelity,selected,-0.028137155874259592,4
single_shape,plain2_w16_gap,random_fullrank,7005,prob_error_reduction,selected,0.018199358135461807,4
single_shape,plain2_w16_gap,random_fullrank,7006,centered_logit_fidelity,selected,0.03348866771203768,4
