task,architecture,profile,method,metric,block,B
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5034,0.08231587970814824
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5035,0.10588194713215415
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5036,0.004621703553193579
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5037,0.1270663678683731
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5038,0.04065134762228595
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5039,0.06746869177771497
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5040,0.0024439626355858834
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5041,0.03600351028691329
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5042,0.09196059446910138
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5043,0.09050906804556486
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5044,0.02761450625674028
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5045,0.027667565460432197
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5046,0.018191784755843876
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5047,0.09204891209366972
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5048,0.05039494439297598
single_shape,TinyCNN,release_default,contrast,centered_logit_fidelity,5049,0.0561264022716641
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5000,0.1066276608181938
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5001,0.055845700284111954
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5002,0.0504553792961161
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5003,0.10654102053582903
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5004,0.09246228451871602
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5005,0.03377887268053442
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5006,0.025652959099162487
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5007,0.11587133143486117
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5008,0.004544264474443338
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5009,0.07385229584125419
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5010,0.009716467857795064
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5011,0.08259962037086988
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5012,0.06960831642235754
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5013,0.0925825299200152
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5014,-0.017810555571881548
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5015,0.030170820785937524
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5016,0.08782808164400557
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5017,0.02020929190379811
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5018,0.1143071790780325
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5019,0.012692213088427773
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5020,0.03441794835620732
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5021,0.0931779522223396
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5022,0.030668894996492668
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5023,0.006071398189349264
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5024,0.016313323353529863
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5025,0.06834890578830405
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5026,0.02770418750795578
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5027,0.014087202004603339
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5028,0.08897749013302747
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5029,0.09146878947709963
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5030,0.06515966327052958
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5031,0.05121027759746033
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5032,-0.01729149327575602
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5033,0.05268803133217753
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5034,0.08728033338276697
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5035,0.14768700481621155
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5036,0.03783958308696356
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5037,0.11247730568238501
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5038,0.05593957527458282
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5039,0.04970352429604996
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5040,0.02626784199982035
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5041,0.04997590275461611
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5042,0.09757836435002398
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5043,0.07483166458886892
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5044,0.03633667147732911
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5045,0.017616376221729346
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5046,0.06654168456530507
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5047,0.06945257102875979
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5048,0.007479928345204945
single_shape,TinyCNN,release_late,contrast,centered_logit_fidelity,5049,0.06344380370073871
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5000,0.12621783041136392
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5001,0.05378998667551832
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5002,0.10287359646318728
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5003,0.0720377218097985
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5004,0.10448207126105619
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5005,0.06166077424114352
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5006,0.09602313430584847
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5007,0.10043842394336194
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5008,0.021916604875993395
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5009,0.1319506866473218
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5010,0.048721032438915346
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5011,0.052172155709099166
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5012,0.1257370884442091
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5013,0.0925520385925983
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5014,0.0759990874043136
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5015,0.045876679407663934
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5016,0.06791031395242669
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5017,0.07525296960467448
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5018,0.15971221422304638
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5019,0.06267437013068577
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5020,0.007208939261901803
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5021,0.03170840978787248
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5022,0.00040913564684230685
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5023,0.027231751253718905
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5024,0.04535233649279402
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5025,0.12246312311047641
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5026,0.0604202320561516
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5027,-0.006385656696179687
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5028,0.07505374539155829
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5029,0.06668773602805722
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5030,0.11010778209537664
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5031,0.08309060782733868
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5032,-0.05746720794665583
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5033,0.061773047771251755
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5034,0.05492852645087992
