architecture,method,metric,t_stat,p_two_sided,n,mean,sd,ci_low,ci_high
TwoLayerCNN,contrast,centered_logit_error_reduction,17.014501781671193,5.883452763491798e-13,20,86.28766126632691,22.680073585091037,75.67306008984042,96.9022624428134
TwoLayerCNN,auroc,centered_logit_error_reduction,19.015277266098014,7.958034097913811e-14,20,87.30490846633911,20.53293332179645,77.69519986567876,96.91461706699947
TwoLayerCNN,validation_patch,centered_logit_error_reduction,28.2560435161735,5.5141380921362216e-17,20,97.77180531024933,15.474523376314439,90.52950543765236,105.01410518284631
TinyCNN,contrast,raw_logit_error_reduction,13.008228066657672,6.555870923581411e-11,20,60.88129962235689,20.930556232029637,51.085497771384794,70.67710147332899
TinyCNN,auroc,raw_logit_error_reduction,16.774678986505524,7.582329464991676e-13,20,58.318196430802345,15.547653895417415,51.04167042171621,65.59472243988847
TinyCNN,validation_patch,raw_logit_error_reduction,18.07160800954563,1.9945576876406737e-13,20,45.23686267510057,11.194654064753712,39.99760329790852,50.47612205229262
TwoLayerCNN,contrast,raw_logit_error_reduction,17.039940289555723,5.728313182414934e-13,20,87.69246215820313,23.014905353894598,76.92115489018951,98.46376942621674
TwoLayerCNN,auroc,raw_logit_error_reduction,19.131269741757908,7.128480987381427e-14,20,88.72728595733642,20.74093832116304,79.02022802036514,98.4343438943077
TwoLayerCNN,validation_patch,raw_logit_error_reduction,28.25926622951332,5.502466376271963e-17,20,99.74106676578522,15.784401733949894,92.35373935757711,107.12839417399333
TinyCNN,contrast,cf_accuracy,11.074872284123577,9.91958210688621e-10,20,0.27666015625,0.11171793230113432,0.22437455447762386,0.32894575802237613
TinyCNN,auroc,cf_accuracy,9.455449022293664,1.2869653550125998e-08,20,0.24658203125,0.11662570071605705,0.19199952315606736,0.3011645393439326
TinyCNN,validation_patch,cf_accuracy,12.990540293453511,6.710838256277873e-11,20,0.19423828125,0.06686865840778004,0.16294278577718646,0.22553377672281355
TwoLayerCNN,contrast,cf_accuracy,-1.0250540356507651,0.3182121318230172,20,-0.015283203125,0.06667800898855318,-0.04648947192303979,0.015923065673039784
TwoLayerCNN,auroc,cf_accuracy,-0.3963209902125968,0.6962839670327072,20,-0.0056640625,0.06391399442160986,-0.03557673266115579,0.02424860766115579
TwoLayerCNN,validation_patch,cf_accuracy,0.011858682633463163,0.9906619967278861,20,0.000146484375,0.055242058543211826,-0.02570759486351574,0.026000563613515736
TinyCNN,contrast,agreement,11.251313278688249,7.629795014398654e-10,20,0.27861328125,0.11074231440863422,0.22678428270647494,0.3304422797935251
TinyCNN,auroc,agreement,9.506176307402969,1.1823874647700009e-08,20,0.248291015625,0.11680734107731663,0.19362349722521055,0.30295853402478945
TinyCNN,validation_patch,agreement,13.11918982804315,5.665419011744265e-11,20,0.1953125,0.06657911541486863,0.16415251481914694,0.22647248518085306
TwoLayerCNN,contrast,agreement,-1.0507222357230073,0.3065674438469974,20,-0.0158203125,0.06733519663443255,-0.04733415458403252,0.015693529584032525
TwoLayerCNN,auroc,agreement,-0.3909676471509478,0.7001706344240881,20,-0.0056640625,0.06478913982321158,-0.03598631331681754,0.024658188316817545
TwoLayerCNN,validation_patch,agreement,0.09038149775122921,0.9289300741676998,20,0.001123046875,0.055569098032225435,-0.024884091555842314,0.02713018530584231
