task,architecture,profile,method,metric,t_stat,p_two_sided,n,mean,sd,ci_low,ci_high,p_holm_within_setting
two_concepts,TwoLayerCNN,retention_0p1,contrast,centered_logit_fidelity,-1.8166929254066513,0.07538323346855827,50,-0.01337280161048992,0.052050616645205244,-0.028165423187670943,0.0014198199666911066,0.15076646693711654
two_concepts,TwoLayerCNN,release_early,contrast,centered_logit_fidelity,-3.337228423290302,0.0016213092338595665,50,-0.028038952024227713,0.059410176946017815,-0.04492313749673088,-0.011154766551724545,0.006485236935438266
two_concepts,TwoLayerCNN,release_default,contrast,centered_logit_fidelity,-2.259665867774429,0.028323015589861122,50,-0.019527337224819263,0.06110599255891656,-0.036893468162008815,-0.0021612062876297106,0.08496904676958336
two_concepts,TwoLayerCNN,release_late,contrast,centered_logit_fidelity,-3.428627565336942,0.0012386540340141709,50,-0.024205084031343523,0.04991962157333708,-0.03839208351002272,-0.010018084552664328,0.006193270170070854
two_concepts,TwoLayerCNN,template_init,auroc,centered_logit_fidelity,-0.48565173787094057,0.629378733187391,50,-0.004499975184982391,0.0655194395560431,-0.023120393880652377,0.014120443510687596,0.629378733187391
two_concepts,TwoLayerCNN,retention_0p1,auroc,centered_logit_fidelity,-1.77789427091342,0.08162698037015813,50,-0.013029080927020771,0.051819456459530656,-0.027756007506317272,0.0016978456522757281,0.16325396074031626
two_concepts,TwoLayerCNN,release_early,auroc,centered_logit_fidelity,-2.347401630753876,0.022988718156273163,50,-0.020935192917553313,0.06306299136674094,-0.03885749676213544,-0.003012889072971179,0.11494359078136582
two_concepts,TwoLayerCNN,release_default,auroc,centered_logit_fidelity,-2.2671100116336196,0.027831074227100287,50,-0.020369644711175337,0.06353248775631307,-0.03842537795334047,-0.002313911469010204,0.11494359078136582
two_concepts,TwoLayerCNN,release_late,auroc,centered_logit_fidelity,-2.039682602823152,0.0467925330916523,50,-0.01612091761953256,0.05588717652414826,-0.03200387745023027,-0.00023795778883484858,0.1403775992749569
two_concepts,TwoLayerCNN,template_init,validation_patch,centered_logit_fidelity,2.691334301447508,0.009708249072618918,50,0.015993943360486797,0.04202163143401065,0.004051527844140453,0.027936358876833142,0.019416498145237836
two_concepts,TwoLayerCNN,retention_0p1,validation_patch,centered_logit_fidelity,2.480230883315875,0.016613847868089053,50,0.01187513858417511,0.03385568285954942,0.0022534599748304848,0.021496817193519736,0.019416498145237836
two_concepts,TwoLayerCNN,release_early,validation_patch,centered_logit_fidelity,4.7129905722483585,2.054322719813936e-05,50,0.024915118771918227,0.0373810411194755,0.014291544430606713,0.03553869311322974,8.217290879255744e-05
two_concepts,TwoLayerCNN,release_default,validation_patch,centered_logit_fidelity,4.867028871182711,1.2187194638645676e-05,50,0.029555407757620455,0.04293960401568031,0.017352107320132294,0.041758708195108615,6.093597319322838e-05
two_concepts,TwoLayerCNN,release_late,validation_patch,centered_logit_fidelity,4.198746287165066,0.0001127597121906527,50,0.01827175059395736,0.030771277580241767,0.009526650266066397,0.027016850921848322,0.0003382791365719581
single_shape,TinyCNN,template_init,contrast,prob_error_reduction,23.815361920722747,1.3614524448963114e-28,50,0.3302756927907467,0.09806283138204538,0.30240654447096144,0.35814484111053196,6.807262224481557e-28
single_shape,TinyCNN,retention_0p1,contrast,prob_error_reduction,16.738557330086977,6.619948191407662e-22,50,0.20075054377317428,0.08480543933959256,0.1766491045839282,0.22485198296242034,6.619948191407662e-22
single_shape,TinyCNN,release_early,contrast,prob_error_reduction,21.974217262163574,5.039633819972454e-27,50,0.331706487685442,0.10673959577609736,0.3013714302089898,0.36204154516189413,1.5118901459917363e-26
single_shape,TinyCNN,release_default,contrast,prob_error_reduction,20.393528677575098,1.3721464354451166e-25,50,0.3374723191931844,0.1170121017980818,0.3042178478072233,0.3707267905791455,2.744292870890233e-25
single_shape,TinyCNN,release_late,contrast,prob_error_reduction,23.790011356859747,1.4285581361247989e-28,50,0.3471760620176792,0.10319059711064668,0.31784961880210666,0.37650250523325174,6.807262224481557e-28
single_shape,TinyCNN,template_init,auroc,prob_error_reduction,24.436746529933206,4.24244881796504e-29,50,0.35800646543502807,0.1035934956020627,0.3285655197351111,0.387447411134945,1.272734645389512e-28
