stage,task,architecture,block,profile,epoch,method,k,selection_valid,stored_prob_fidelity,legacy_prob_fidelity_abs_diff,prob_fidelity,centered_logit_fidelity,raw_logit_fidelity,prob_patch_error_mpp,prob_error_reduction,centered_logit_patch_error_mpp,centered_logit_error_reduction,raw_logit_patch_error_mpp,raw_logit_error_reduction,cf_accuracy,agreement
E,single_shape,TwoLayerCNN,5020,release_default,200,validation_patch,8,True,0.5202677298112006,0.0,0.5202677298112006,0.6888878868711416,0.6839608206055712,0.9590542316436768,1.0400906801223755,120.02008056640625,265.75750732421875,126.02012634277344,272.7283477783203,0.3828125,0.3828125
E,single_shape,TwoLayerCNN,5020,release_default,200,validation_patch,9,True,0.6788651325923982,0.0,0.6788651325923982,0.7331980873063337,0.7301847588090217,0.6419950723648071,1.3571498394012451,102.92620086669922,282.8513870239258,107.5884017944336,291.16007232666016,0.52734375,0.52734375
E,single_shape,TwoLayerCNN,5020,release_default,200,validation_patch,10,True,0.8473292373519095,0.0,0.8473292373519095,0.8070536248255697,0.8066751628962734,0.3052109479904175,1.6939339637756348,74.43438720703125,311.34320068359375,77.08797454833984,321.6604995727539,0.78125,0.78125
E,single_shape,TwoLayerCNN,5020,release_default,200,validation_patch,11,True,0.9074282643390026,0.0,0.9074282643390026,0.8453547775678815,0.8413408970798012,0.18506430089473724,1.814080610871315,59.658660888671875,326.1189270019531,63.26506042480469,335.48341369628906,0.8528646230697632,0.8528646230697632
E,single_shape,TwoLayerCNN,5020,release_default,200,validation_patch,12,True,0.9719895095070725,0.0,0.9719895095070725,0.8714440763347667,0.8677793655910456,0.05599702522158623,1.943147886544466,49.59400177001953,336.18358612060547,52.72277069091797,346.0257034301758,0.9791666865348816,0.9791666865348816
E,single_shape,TwoLayerCNN,5020,release_default,200,validation_patch,13,True,0.9873971961388924,0.0,0.9873971961388924,0.9153393095781295,0.9145133416111876,0.02519482932984829,1.973950082436204,32.66020202636719,353.1173858642578,34.087669372558594,364.66080474853516,0.9908854365348816,0.9908854365348816
E,single_shape,TwoLayerCNN,5020,release_default,200,validation_patch,14,True,0.9995197815919465,0.0,0.9995197815919465,0.9527785655483094,0.9532438994448879,0.0009600261109881103,1.9981848856550641,18.21697235107422,367.5606155395508,18.6439208984375,380.10455322265625,1.0,1.0
E,single_shape,TwoLayerCNN,5020,release_default,200,validation_patch,15,True,0.9999891231276458,0.0,0.9999891231276458,0.9855400005484729,0.9853466650589547,2.1744443074567243e-05,1.9991231673229777,5.578343868255615,380.1992440223694,5.842994213104248,392.9054799079895,1.0,1.0
E,single_shape,TwoLayerCNN,5020,release_default,200,validation_patch,16,True,1.0,0.0,1.0,1.0,1.0,0.0,1.9991449117660522,0.0,385.777587890625,0.0,398.74847412109375,1.0,1.0
E,single_shape,TwoLayerCNN,5020,release_early,200,contrast,1,True,0.0007251787862665449,0.0,0.0007251787862665449,0.14056860312776664,0.14262805941864065,1.997704029083252,0.0014498233795166016,331.44036865234375,54.21038818359375,342.25537109375,56.935882568359375,0.0,0.0
