stage,task,architecture,block,profile,epoch,pair_count,prob_input_effect_mpp,centered_logit_input_effect_mpp,raw_logit_input_effect_mpp,max_legacy_prob_fidelity_abs_diff,full_patch_max_logit_error,noop_max_logit_error,checkpoint_sha256,ranking_artifact_sha256,test_data_sha256
E,single_shape,TinyCNN,5004,release_default,200,768,1.979554533958435,164.60464477539062,173.873291015625,0.0,0.0,0.0,8880f803355cb26322371bad24548afdeeb436bfa349680dd3035eed57c12592,a97aaa8b4e8fc5860de23c37f176645b3dcd236e2245c0c91dcd89c03cfa812b,b2912b641419091c71966d0e4c17ed5af581ecd33afbb32c3451068be6cd0a47
E,single_shape,TinyCNN,5004,release_early,200,768,1.980372428894043,177.59283447265625,187.60574340820312,0.0,0.0,0.0,64de8299dcc931a1adafad20f14889ba2cddd23f80b5407b90c7ab24fe4e7677,192234bf565dd165e295bb2b713f9767fe46a7ed72bca599f4f7697fab209666,b2912b641419091c71966d0e4c17ed5af581ecd33afbb32c3451068be6cd0a47
E,single_shape,TinyCNN,5004,release_late,200,768,1.9700086116790771,133.36038208007812,140.31979370117188,0.0,0.0,0.0,e178ee11b2950cb942bbeb0dc98aac6d4a62358595145a68eb180e5ef6510a0a,372ce0a8f0483ae8ad6a57e82ba12807d035f4c457ad8891537d17dbd8485544,b2912b641419091c71966d0e4c17ed5af581ecd33afbb32c3451068be6cd0a47
E,single_shape,TinyCNN,5004,retention_0p1,200,768,1.8410362005233765,62.11408233642578,66.64727020263672,0.0,0.0,0.0,e36181cd1ca66393736ac6cfff155bb9c00475d4e65cd88debe478d91cef8ae6,d91da6d25624c55d0083521d876c6c003c5ce472398bd38f1521e06d96ab783f,b2912b641419091c71966d0e4c17ed5af581ecd33afbb32c3451068be6cd0a47
E,single_shape,TinyCNN,5004,retention_1,200,768,1.5598986148834229,33.233489990234375,35.14588165283203,0.0,0.0,0.0,e80eab1a29d79b4e695e807c1df0cc9b70fbd472da85e2c4aa81e2fad80a00c6,8f968913acb1633efc0809bd12591b6c9498d08aa21acaa659c04d823666dec3,b2912b641419091c71966d0e4c17ed5af581ecd33afbb32c3451068be6cd0a47
E,single_shape,TinyCNN,5004,template_init,200,768,1.9804067611694336,175.815185546875,185.6326904296875,0.0,0.0,0.0,b86ae334adca005c29eb73a1ed2905aeee7299cc363cc42bc7f742722cfbc266,56d9b19d9352440b1c5715c088d9fa76538a14df96d0432156bad7b683a11dbd,b2912b641419091c71966d0e4c17ed5af581ecd33afbb32c3451068be6cd0a47
E,single_shape,TinyCNN,5005,release_default,200,768,1.9870367050170898,178.55908203125,179.59715270996094,0.0,0.0,0.0,4c9723e941db70f7bbf470294904f6424513b052c090a8c7c48a863d44b57cec,f26edb7261329f27a765a49519edc113432c3638fccfeccdf0dc4b36478e482c,3ce42f65e146ab67caacc0abf5366fafaf8ede77a2c5b5e79231a61a0e03ae75
E,single_shape,TinyCNN,5005,release_early,200,768,1.9882687330245972,187.36428833007812,188.045166015625,0.0,0.0,0.0,9022403094794c6617902b53665aa5b87c0e6a997a6900c8547630b3121b3848,6ac0dc3379548ec987b4e23079628d1ad8aa5341db247b0c4106f3b9df04d8e0,3ce42f65e146ab67caacc0abf5366fafaf8ede77a2c5b5e79231a61a0e03ae75
E,single_shape,TinyCNN,5005,release_late,200,768,1.9796829223632812,143.8769989013672,144.84136962890625,0.0,0.0,0.0,d743a7d28a68072f7afb585356d637bc61699eae63709507e74f5d61f4b1763d,aa3ab7c567cea52f75ff057356f35f706816d9db97ebd7d708b62506bd1cbb91,3ce42f65e146ab67caacc0abf5366fafaf8ede77a2c5b5e79231a61a0e03ae75
E,single_shape,TinyCNN,5005,retention_0p1,200,768,1.8845024108886719,67.15998840332031,67.44129180908203,0.0,0.0,0.0,70d1367ddfbdc4cf28584ed1927c5618f8bc74a66b0e9d9365cbf99a87f1259a,7bf8a2c956a70f4006d5bea97e133d54fdbe4fab79f96d2568b23e1d2145ae5a,3ce42f65e146ab67caacc0abf5366fafaf8ede77a2c5b5e79231a61a0e03ae75
E,single_shape,TinyCNN,5005,retention_1,200,768,1.6629507541656494,35.521148681640625,35.8746337890625,0.0,0.0,0.0,429a8e7fbe64750364ad386ebf74ac93e4be45892a990d9b561a88dcbc2e62f2,30390cbdc7f199f605aeaca3c7d3bc9227f4b3c7bfc6f2eba312697728ce65bc,3ce42f65e146ab67caacc0abf5366fafaf8ede77a2c5b5e79231a61a0e03ae75
E,single_shape,TinyCNN,5005,template_init,200,768,1.9871124029159546,184.57261657714844,185.55108642578125,0.0,0.0,0.0,147bbf1d215a59cf09921f478ac5655dac459f934ea588a5e3fd4bef49758ec7,05dae20f9eca6aeb587e6381f8cec6692832907541bbe6417a26d94f723b832e,3ce42f65e146ab67caacc0abf5366fafaf8ede77a2c5b5e79231a61a0e03ae75
E,single_shape,TinyCNN,5006,release_default,200,768,1.986236333847046,175.0786590576172,175.5365447998047,0.0,0.0,0.0,021d2c466d9b36d16d379ccbfe2c2b82c15375b8c0414642487f3930c74c0c3e,5ab8afec28d5d2a2c4a3cb1c8fc4a003803c74dfa618cdd2e521db3652452c69,35d91922164880f5c97c5716a46765184043ffe441d2446a284bd19900cb17c8
E,single_shape,TinyCNN,5006,release_early,200,768,1.9873671531677246,180.703125,181.1942596435547,0.0,0.0,0.0,dbf99a6358ed309fd8cb73763891e268e65d7ebe2684e0a35f957a4aba4b4f2d,6d34ed85888d78465aa07011cc3e59402ba3a135f58003842985bd3443e44d14,35d91922164880f5c97c5716a46765184043ffe441d2446a284bd19900cb17c8
E,single_shape,TinyCNN,5006,release_late,200,768,1.9797239303588867,147.92001342773438,148.40721130371094,0.0,0.0,0.0,c2c5e9e5587b7b7781bf290c4f5c653ddf7b577b611d7b41c8aaa6f073e3a556,0f4b54207e372a10b3da99161fe44601a89e1c23e28905f03c45eb0d05b7810c,35d91922164880f5c97c5716a46765184043ffe441d2446a284bd19900cb17c8
E,single_shape,TinyCNN,5006,retention_0p1,200,768,1.8777621984481812,64.76199340820312,64.96141815185547,0.0,0.0,0.0,169695b1a633c3ac0b167fa0a4eb7c9e5d9036441e7766c7eab216f4e87dda96,425db51c9565ee1f9f5ca8fba53c4bd5c083cb18f7d524acba6919ecc92770f7,35d91922164880f5c97c5716a46765184043ffe441d2446a284bd19900cb17c8
E,single_shape,TinyCNN,5006,retention_1,200,768,1.654691219329834,34.97536849975586,35.194210052490234,0.0,0.0,0.0,28fa9db2ecd11e27bbe7a6d193280012c63e8f0f38a2e80e4e6446bf9182d592,fe3786609cfbf08ce821728948b9abac027a6cfa40ec33d128a68c7e047bdb4c,35d91922164880f5c97c5716a46765184043ffe441d2446a284bd19900cb17c8
E,single_shape,TinyCNN,5006,template_init,200,768,1.9870171546936035,172.54367065429688,173.3983154296875,0.0,0.0,0.0,12d05097486486de6be15377b45cf3b17adbb693053f9f8f9116c60112a6a8bb,e67ca935856804a5307e9302bb13838631bdd0f34d27e9764360d48703bf8f42,35d91922164880f5c97c5716a46765184043ffe441d2446a284bd19900cb17c8
E,single_shape,TinyCNN,5007,release_default,200,768,1.9898531436920166,167.8218994140625,172.40719604492188,0.0,0.0,0.0,be18de3ace9a7c17ed5bb367039670adb013e32f1e40fd4bd11079240168487d,5f973d53b828f2246d00e962f06a3623f53c2e5d055ca0401077deab97b3eb43,482f63c0f85b34fa7983d87b105e6fb3b4cdb405d82518076d314f4f084bf68d
E,single_shape,TinyCNN,5007,release_early,200,768,1.990533709526062,176.82855224609375,181.09909057617188,0.0,0.0,0.0,ca5b7d0b35a53e0cf12e6b437cda892c4ded09933bb85e0393b877be748059de,7720133d810ca9a5721323472f27e5edef6ef14c3145041bf04b69a8c7c6d51f,482f63c0f85b34fa7983d87b105e6fb3b4cdb405d82518076d314f4f084bf68d
E,single_shape,TinyCNN,5007,release_late,200,768,1.9831807613372803,140.58741760253906,144.9546356201172,0.0,0.0,0.0,bd322e6360de72cbf0bfa4a3e0518a259780232453156e167b40b32033f4f214,f56578929cebbccaf6cb090bdc980fd241acbf5c6422935c1cf92e3eb8814864,482f63c0f85b34fa7983d87b105e6fb3b4cdb405d82518076d314f4f084bf68d
E,single_shape,TinyCNN,5007,retention_0p1,200,768,1.872814416885376,63.884361267089844,65.61347961425781,0.0,0.0,0.0,fcc4c93f4325ec0284409887484db8579ff142d08e33d396b6bcf00c6bb2b5d1,16ba1cb50a366815bf37bb128e1699550c755167a55e2a9837f98dc037a069d6,482f63c0f85b34fa7983d87b105e6fb3b4cdb405d82518076d314f4f084bf68d
E,single_shape,TinyCNN,5007,retention_1,200,768,1.596619963645935,33.95702362060547,35.244178771972656,0.0,0.0,0.0,de2d8ea5fe1e14536754b952218d465a1fb4dc49748771b384a2262d7ddf807d,fe4f3b0c580b35361fae05fdcb59310f56e09aeeda10e0ada8c6bd1e044956ce,482f63c0f85b34fa7983d87b105e6fb3b4cdb405d82518076d314f4f084bf68d
E,single_shape,TinyCNN,5007,template_init,200,768,1.9914934635162354,177.7021484375,180.4178466796875,0.0,0.0,0.0,04ee4af8966dfa76994c0dc7e41d32f2c9afc125d46110bee13ec37fd7dc4b48,ced32105914146b26b9128160a0de8f91499a97b654ccb213032cc11ebb62574,482f63c0f85b34fa7983d87b105e6fb3b4cdb405d82518076d314f4f084bf68d
