stage,task,architecture,block,condition,epoch,pair_count,prob_input_effect_mpp,centered_logit_input_effect_mpp,raw_logit_input_effect_mpp,max_legacy_prob_fidelity_abs_diff,full_patch_max_logit_error,noop_max_logit_error,checkpoint_sha256,ranking_artifact_sha256,test_data_sha256
D,two_concepts,TinyCNN,4015,template_retention_1,200,512,1.0398452281951904,24.02273941040039,24.303951263427734,2.866034443105292e-08,0.0,0.0,4bcc67d0687cd5916ccc918fa24cabf73751be740ea555d36d9d63b5daeac228,ab3e831d583b6c151f37ea8b2170bc23091d8c3c52d60641a9bb83f7a3afd52c,9230014566168720d5d5e54c51c7cb9d2364ba6ae5e143794a029d6ef7d9d301
D,two_concepts,TinyCNN,4016,template_release,200,512,1.8912041187286377,132.60031127929688,134.1688690185547,7.879192520654499e-09,0.0,0.0,1f7bb933065e174f7ef46b3136b28393885503e848bbfb18d136c2b68be925b7,fbcb1c657173cabe13f6c9e3533e9bdaec95b522f82ce129de85016e047ec721,ad3d47e2c03afad590ae62af2964d3803388291d5f66a6438f6a7ef8942ba87a
D,two_concepts,TinyCNN,4016,template_retention_1,200,512,0.9853250980377197,21.302879333496094,21.357736587524414,3.9071696100734243e-08,0.0,0.0,74551967ade23628f495f9f3a41743cf5e520f49bda60ecc5a0f0835b1b96c81,ebbb05fbd3c3fa159835ef70c4eaffface078f62fecfff8bf9d74b3764479298,ad3d47e2c03afad590ae62af2964d3803388291d5f66a6438f6a7ef8942ba87a
D,two_concepts,TinyCNN,4017,template_release,200,512,1.8380647897720337,159.49063110351562,159.8500518798828,6.485586911963992e-08,0.0,0.0,aca3e4749882cf37fed93d0b9575a08ecd74f77b1526312b2bb4af3e358cbe1d,2f8dc25617babb3b89efe7b65f0e69dafa274b7a7cb8e97fb84de77919294b52,dbdb7a2103252332c79fc358da5e9db9695097d752fcd469a5aa22bebf6a2ebb
D,two_concepts,TinyCNN,4017,template_retention_1,200,512,1.009109616279602,23.090251922607422,23.184755325317383,5.90665778510413e-08,0.0,0.0,3d73b886e9040ee918fdabffd7592846426a41d00204b643b1f4f6b41466c4e9,4dac05d3c260b0c9d70d20721a5faa88846bc1cb9c0f2b8fc9cea300b6274109,dbdb7a2103252332c79fc358da5e9db9695097d752fcd469a5aa22bebf6a2ebb
D,two_concepts,TinyCNN,4018,template_release,200,512,1.8698277473449707,179.01644897460938,183.0823516845703,6.375415584347621e-08,0.0,0.0,9174830d60276cd295483bb0102b9d8db96aeaf7d51add642693c9702eb9dd53,6d6b6e533f4a427270e399361f4916b6e82947017089ee151943c2cc7af8920f,bbee8ffc1813b2d2ff987bc987c46c9dcdc722da394d449518e92b328d598b30
D,two_concepts,TinyCNN,4018,template_retention_1,200,512,1.1112568378448486,31.008840560913086,31.70880889892578,8.380803828700323e-10,0.0,0.0,5d20993507bc93615c28f8c2fc92c2c4c732f9bb76f0ad1809af02b812c289a1,2feef42fc70db68b98364f6b2747dec15b3bfaad1ca654ba4ea529f59c78fecd,bbee8ffc1813b2d2ff987bc987c46c9dcdc722da394d449518e92b328d598b30
D,two_concepts,TinyCNN,4019,template_release,200,512,1.8667984008789062,129.85153198242188,131.709716796875,3.1928806487613315e-08,0.0,0.0,94f62b364fe643ba8f45bdf61354f30065fe55f124a47431c8696164880c9106,9c3b82aa78913f704ba792cb776dc816d523556b1159874cc9478df5b83c3a67,ca938bf876a9aa477797511c103c93bad64202798e2ff6cde8c9a096438b531b
D,two_concepts,TinyCNN,4019,template_retention_1,200,512,0.9987993240356445,21.566455841064453,21.81597900390625,3.7297686050763446e-09,0.0,0.0,1ff69524ece3b7cd0b77748b43ef5530808f870c14df9bd3bb7876f1cfb4dd85,d33db0ef17eff6ee434a031e55368edf0a9c2cda406ea5d074137e6b547d405a,ca938bf876a9aa477797511c103c93bad64202798e2ff6cde8c9a096438b531b
D,two_concepts,TwoLayerCNN,4000,template_release,200,512,1.9691851139068604,404.90911865234375,407.2484436035156,3.783585666994327e-09,0.0,0.0,2a857ffccba9560271f3d0169821cb2b0933b0a574c75cc6368e27c98d88d0b9,4435fe8390cd55db9166c99265f66d07161596bcef3ad32f75c3cc11704fd701,7e4df230824b6c322704f3aec14fda2d1e36bc5a12c56d4dd8ce8ad3f11c9bc1
