architecture,method,k,metric,n,mean,sd,ci_low,ci_high
TwoLayerCNN,validation_patch,8,raw_logit_fidelity,20,0.000673005640520219,0.02354461326287795,-0.010346212560092171,0.01169222384113261
TinyCNN,contrast,1,centered_logit_error_reduction,20,41.72130935192108,21.44328995980651,31.685540729692015,51.75707797415014
TinyCNN,contrast,2,centered_logit_error_reduction,20,76.33747045993805,16.27337157323634,68.72129812263904,83.95364279723705
TinyCNN,contrast,4,centered_logit_error_reduction,20,113.58836903870106,12.685910851147863,107.65118000180507,119.52555807559705
TinyCNN,contrast,8,centered_logit_error_reduction,20,124.8109834447503,12.4754145830459,118.97230969382368,130.64965719567695
TinyCNN,auroc,1,centered_logit_error_reduction,20,45.04948062896729,16.731644328442666,37.218830040161976,52.8801312177726
TinyCNN,auroc,2,centered_logit_error_reduction,20,75.95975797176361,16.708371473444398,68.139999414376,83.77951652915121
TinyCNN,auroc,4,centered_logit_error_reduction,20,112.200140401721,15.002612968847341,105.17870139835813,119.22157940508387
TinyCNN,auroc,8,centered_logit_error_reduction,20,124.61052895635366,12.653230226545407,118.68863492258242,130.5324229901249
TinyCNN,validation_patch,1,centered_logit_error_reduction,20,62.272817730903625,10.126973197422345,57.53324838108157,67.01238708072567
TinyCNN,validation_patch,2,centered_logit_error_reduction,20,90.28946025371552,10.870641309487254,85.20184351385198,95.37707699357905
TinyCNN,validation_patch,4,centered_logit_error_reduction,20,116.61529659628869,12.35738574959061,110.83186203979206,122.39873115278532
TinyCNN,validation_patch,8,centered_logit_error_reduction,20,125.54718464240432,12.337744110433064,119.77294265599913,131.32142662880952
TwoLayerCNN,contrast,1,centered_logit_error_reduction,20,24.349245452880858,15.113661920460823,17.275833940345045,31.42265696541667
TwoLayerCNN,contrast,2,centered_logit_error_reduction,20,45.4706371307373,17.935074100120968,37.07676407167192,53.86451018980269
TwoLayerCNN,contrast,4,centered_logit_error_reduction,20,83.48467407226562,23.71669381402361,72.38491969465238,94.58442844987886
TwoLayerCNN,contrast,8,centered_logit_error_reduction,20,158.91053104400635,25.85293690967324,146.810984122014,171.0100779659987
TwoLayerCNN,auroc,1,centered_logit_error_reduction,20,21.022796630859375,15.087332600894703,13.961707619191738,28.08388564252701
TwoLayerCNN,auroc,2,centered_logit_error_reduction,20,42.19561424255371,17.758237986265026,33.88450303234821,50.506725452759206
TwoLayerCNN,auroc,4,centered_logit_error_reduction,20,79.87046012878417,21.39247934220733,69.85847160759062,89.88244864997773
TwoLayerCNN,auroc,8,centered_logit_error_reduction,20,157.95776767730712,26.376273099626964,145.61329187901552,170.30224347559871
TwoLayerCNN,validation_patch,1,centered_logit_error_reduction,20,48.499917602539064,13.899380731550613,41.994807179857936,55.00502802522019
TwoLayerCNN,validation_patch,2,centered_logit_error_reduction,20,83.08059768676758,20.702911221326705,73.39133698035407,92.76985839318108
TwoLayerCNN,validation_patch,4,centered_logit_error_reduction,20,135.90741367340087,23.397176517794747,124.95719799352308,146.85762935327867
TwoLayerCNN,validation_patch,8,centered_logit_error_reduction,20,191.21671223640442,23.17514836860057,180.37040892898025,202.06301554382858
TinyCNN,contrast,1,raw_logit_error_reduction,20,41.92617778778076,21.57051956720994,31.830863876363736,52.02149169919778
TinyCNN,contrast,2,raw_logit_error_reduction,20,76.76586753129959,16.216559100693544,69.17628424961495,84.35545081298423
TinyCNN,contrast,4,raw_logit_error_reduction,20,114.49180852174759,12.888014138637299,108.46003223472172,120.52358480877345
TinyCNN,contrast,8,raw_logit_error_reduction,20,125.96283604204655,12.754564581063551,119.99351607049556,131.93215601359753
TinyCNN,auroc,1,raw_logit_error_reduction,20,45.54977450370789,17.14189671249263,37.52711988889908,53.572429118516695
TinyCNN,auroc,2,raw_logit_error_reduction,20,76.61479555368423,16.699104114451234,68.7993742538149,84.43021685355356
TinyCNN,auroc,4,raw_logit_error_reduction,20,113.0517710864544,15.219534398862018,105.92880972878343,120.17473244412535
TinyCNN,auroc,8,raw_logit_error_reduction,20,125.74919183254242,12.957025128293877,119.68511740815597,131.81326625692887
TinyCNN,validation_patch,1,raw_logit_error_reduction,20,62.81693451404571,10.248896777506317,58.02030317226207,67.61356585582936
TinyCNN,validation_patch,2,raw_logit_error_reduction,20,91.03711693286895,10.99272038735483,85.89236542584094,96.18186843989697
TinyCNN,validation_patch,4,raw_logit_error_reduction,20,117.6311298072338,12.648244310399374,111.71156925404811,123.5506903604195
TinyCNN,validation_patch,8,raw_logit_error_reduction,20,126.696646989882,12.61699951688874,120.7917094501849,132.6015845295791
TwoLayerCNN,contrast,1,raw_logit_error_reduction,20,24.902288055419923,15.448671641081877,17.67208716734274,32.1324889434971
TwoLayerCNN,contrast,2,raw_logit_error_reduction,20,46.493861770629884,18.392077345066422,37.88610460914937,55.1016189321104
TwoLayerCNN,contrast,4,raw_logit_error_reduction,20,84.91251258850097,23.897330435709083,73.72821766961191,96.09680750739004
TwoLayerCNN,contrast,8,raw_logit_error_reduction,20,161.8685615539551,26.868654863362714,149.2936439967767,174.44347911113348
TwoLayerCNN,auroc,1,raw_logit_error_reduction,20,21.561637115478515,15.509726683170436,14.302861588119313,28.820412642837717
TwoLayerCNN,auroc,2,raw_logit_error_reduction,20,43.10930061340332,18.286510564365432,34.55095022613024,51.6676510006764
TwoLayerCNN,auroc,4,raw_logit_error_reduction,20,81.2823917388916,21.719693561227984,71.11726224921094,91.44752122857227
TwoLayerCNN,auroc,8,raw_logit_error_reduction,20,160.84311790466307,27.15803885066381,148.13276447244053,173.55347133688562
TwoLayerCNN,validation_patch,1,raw_logit_error_reduction,20,49.196883010864255,13.771368947474258,42.75168394732238,55.64208207440613
TwoLayerCNN,validation_patch,2,raw_logit_error_reduction,20,84.55418472290039,21.012831213039757,74.71987699552763,94.38849245027315
TwoLayerCNN,validation_patch,4,raw_logit_error_reduction,20,138.4963270187378,23.847649343423615,127.335283566765,149.6573704707106
TwoLayerCNN,validation_patch,8,raw_logit_error_reduction,20,194.7368742465973,23.53526216350982,183.72203249520504,205.75171599798955
TinyCNN,contrast,1,cf_accuracy,20,-0.20087890625,0.11595305655700769,-0.2551466071871033,-0.14661120531289668
