architecture,method,metric,block,B
TinyCNN,contrast,prob_error_reduction,4017,0.8665930484421551
TinyCNN,contrast,prob_error_reduction,4018,1.3050895277410746
TinyCNN,contrast,prob_error_reduction,4019,0.5001458637416363
TinyCNN,auroc,prob_error_reduction,4000,0.5812052562832832
TinyCNN,auroc,prob_error_reduction,4001,1.1606473247520626
TinyCNN,auroc,prob_error_reduction,4002,0.9712414278183132
TinyCNN,auroc,prob_error_reduction,4003,1.0252762651070952
TinyCNN,auroc,prob_error_reduction,4004,0.9568873858079314
TinyCNN,auroc,prob_error_reduction,4005,0.6837929245084524
TinyCNN,auroc,prob_error_reduction,4006,0.942846198566258
TinyCNN,auroc,prob_error_reduction,4007,0.9035312412306666
TinyCNN,auroc,prob_error_reduction,4008,1.1305224730167538
TinyCNN,auroc,prob_error_reduction,4009,0.7142358849523589
TinyCNN,auroc,prob_error_reduction,4010,0.6356560585554689
TinyCNN,auroc,prob_error_reduction,4011,1.0136279757134616
TinyCNN,auroc,prob_error_reduction,4012,1.1509324219077826
TinyCNN,auroc,prob_error_reduction,4013,0.5831848429515958
TinyCNN,auroc,prob_error_reduction,4014,0.4767622980289161
TinyCNN,auroc,prob_error_reduction,4015,0.7968450572807342
TinyCNN,auroc,prob_error_reduction,4016,0.7994687408208847
TinyCNN,auroc,prob_error_reduction,4017,0.8873067353852093
TinyCNN,auroc,prob_error_reduction,4018,0.8979699555784464
TinyCNN,auroc,prob_error_reduction,4019,0.8156728986650705
TinyCNN,validation_patch,prob_error_reduction,4000,0.4766673822887242
TinyCNN,validation_patch,prob_error_reduction,4001,0.8822192514926428
TinyCNN,validation_patch,prob_error_reduction,4002,0.7698138982523233
TinyCNN,validation_patch,prob_error_reduction,4003,0.8208363587036729
TinyCNN,validation_patch,prob_error_reduction,4004,0.4569793875562027
TinyCNN,validation_patch,prob_error_reduction,4005,0.7206809355411679
TinyCNN,validation_patch,prob_error_reduction,4006,0.8651447796728462
TinyCNN,validation_patch,prob_error_reduction,4007,0.7477532340562902
TinyCNN,validation_patch,prob_error_reduction,4008,0.8364335716469213
TinyCNN,validation_patch,prob_error_reduction,4009,0.6379608638526406
TinyCNN,validation_patch,prob_error_reduction,4010,0.671826213481836
TinyCNN,validation_patch,prob_error_reduction,4011,0.7125375848263502
TinyCNN,validation_patch,prob_error_reduction,4012,0.5969220250844955
TinyCNN,validation_patch,prob_error_reduction,4013,0.5700929802842438
TinyCNN,validation_patch,prob_error_reduction,4014,0.5871961222728714
TinyCNN,validation_patch,prob_error_reduction,4015,0.7559168708976358
TinyCNN,validation_patch,prob_error_reduction,4016,0.7113177473656833
TinyCNN,validation_patch,prob_error_reduction,4017,0.6981294574216008
TinyCNN,validation_patch,prob_error_reduction,4018,0.7748007455375046
TinyCNN,validation_patch,prob_error_reduction,4019,0.4642440687166527
TwoLayerCNN,contrast,prob_error_reduction,4000,-0.17957812547683716
TwoLayerCNN,contrast,prob_error_reduction,4001,0.04250991344451904
TwoLayerCNN,contrast,prob_error_reduction,4002,-0.09061781316995621
TwoLayerCNN,contrast,prob_error_reduction,4003,0.02283555269241333
TwoLayerCNN,contrast,prob_error_reduction,4004,-0.07834672927856445
TwoLayerCNN,contrast,prob_error_reduction,4005,-0.05229729413986206
TwoLayerCNN,contrast,prob_error_reduction,4006,-0.02440822124481201
TwoLayerCNN,contrast,prob_error_reduction,4007,0.05773340165615082
TwoLayerCNN,contrast,prob_error_reduction,4008,-0.31638282537460327
TwoLayerCNN,contrast,prob_error_reduction,4009,-0.026840686798095703
TwoLayerCNN,contrast,prob_error_reduction,4010,-0.053594380617141724
TwoLayerCNN,contrast,prob_error_reduction,4011,-0.2458808720111847
TwoLayerCNN,contrast,prob_error_reduction,4012,0.13289874792099
TwoLayerCNN,contrast,prob_error_reduction,4013,0.09989961981773376
TwoLayerCNN,contrast,prob_error_reduction,4014,0.04085540771484375
TwoLayerCNN,contrast,prob_error_reduction,4015,-0.11544471979141235
