stage,task,architecture,block,condition,epoch,method,k,selection_valid,stored_prob_fidelity,legacy_prob_fidelity_abs_diff,prob_fidelity,centered_logit_fidelity,raw_logit_fidelity,prob_patch_error_mpp,prob_error_reduction,centered_logit_patch_error_mpp,centered_logit_error_reduction,raw_logit_patch_error_mpp,raw_logit_error_reduction,cf_accuracy,agreement
D,two_concepts,TinyCNN,4000,template_release,200,validation_patch,4,True,0.946602253264953,5.855790297104591e-10,0.9466022526793739,0.938941653872557,0.9392972203539505,0.09894558787345886,1.754046231508255,8.87320613861084,136.45018863677979,9.02043342590332,139.57958793640137,0.916015625,0.916015625
D,two_concepts,TinyCNN,4000,template_release,200,validation_patch,8,True,0.9962872189204796,1.0176560705232873e-09,0.9962872179028235,0.9902678815269647,0.9899247144432236,0.006879755295813084,1.8461120640859008,1.4143043756484985,143.90909039974213,1.4971873760223389,147.10283398628235,0.986328125,0.990234375
D,two_concepts,TinyCNN,4000,template_retention_1,200,contrast,1,True,0.5804506248910664,2.5793604141455262e-08,0.5804506506846705,0.6899760856584845,0.6924014609611915,0.4067562520503998,0.5627510845661163,6.989754676818848,15.556099891662598,7.0860185623168945,15.950560569763184,0.427734375,0.431640625
D,two_concepts,TinyCNN,4000,template_retention_1,200,contrast,2,True,0.7766887981932461,1.3729017478425476e-08,0.7766888119222636,0.8357311864061503,0.8365771768737391,0.2165018618106842,0.7530054748058319,3.703580856323242,18.842273712158203,3.764702558517456,19.271876573562622,0.65234375,0.654296875
D,two_concepts,TinyCNN,4000,template_retention_1,200,contrast,4,True,0.864693477998246,8.318550959174331e-09,0.864693486316797,0.8906435350317017,0.8899134337522672,0.13118067383766174,0.8383266627788544,2.4655351638793945,20.08031940460205,2.536017894744873,20.500561237335205,0.794921875,0.798828125
D,two_concepts,TinyCNN,4000,template_retention_1,200,contrast,8,True,0.9761969714062808,4.5783465907334175e-10,0.9761969709484462,0.971553128110586,0.9709494896091193,0.023077215999364853,0.9464301206171513,0.6413590908050537,21.90449547767639,0.6692243218421936,22.367354810237885,0.953125,0.95703125
D,two_concepts,TinyCNN,4000,template_retention_1,200,auroc,1,True,0.5804506248910664,2.5793604141455262e-08,0.5804506506846705,0.6899760856584845,0.6924014609611915,0.4067562520503998,0.5627510845661163,6.989754676818848,15.556099891662598,7.0860185623168945,15.950560569763184,0.427734375,0.431640625
D,two_concepts,TinyCNN,4000,template_retention_1,200,auroc,2,True,0.7766887981932461,1.3729017478425476e-08,0.7766888119222636,0.8357311864061503,0.8365771768737391,0.2165018618106842,0.7530054748058319,3.703580856323242,18.842273712158203,3.764702558517456,19.271876573562622,0.65234375,0.654296875
D,two_concepts,TinyCNN,4000,template_retention_1,200,auroc,4,True,0.864693477998246,8.318550959174331e-09,0.864693486316797,0.8906435350317017,0.8899134337522672,0.13118067383766174,0.8383266627788544,2.4655351638793945,20.08031940460205,2.536017894744873,20.500561237335205,0.794921875,0.798828125
D,two_concepts,TinyCNN,4000,template_retention_1,200,auroc,8,True,0.9761969714062808,4.5783465907334175e-10,0.9761969709484462,0.971553128110586,0.9709494896091193,0.023077215999364853,0.9464301206171513,0.6413590908050537,21.90449547767639,0.6692243218421936,22.367354810237885,0.953125,0.95703125
D,two_concepts,TinyCNN,4000,template_retention_1,200,validation_patch,1,True,0.6123107397897469,3.764443889942015e-08,0.612310702145308,0.7157486361431415,0.718732286719057,0.375867635011673,0.5936397016048431,6.408690452575684,16.13716411590576,6.4794464111328125,16.557132720947266,0.431640625,0.4375
D,two_concepts,TinyCNN,4000,template_retention_1,200,validation_patch,2,True,0.7752499364457643,1.3817477717559257e-08,0.7752499502632421,0.8330789240948919,0.8331597918230486,0.21789681911468506,0.751610517501831,3.763378381729126,18.78247618675232,3.8434276580810547,19.193151473999023,0.666015625,0.66796875
D,two_concepts,TinyCNN,4000,template_retention_1,200,validation_patch,4,True,0.895444214136122,1.4112930268872503e-08,0.8954442282490522,0.90442194515606,0.9036010649951043,0.10136760771274567,0.8681397289037704,2.1548891067504883,20.390965461730957,2.2207016944885254,20.815877437591553,0.833984375,0.837890625
D,two_concepts,TinyCNN,4000,template_retention_1,200,validation_patch,8,True,0.976950782662343,1.4170499218479904e-09,0.976950784079393,0.9715644326028918,0.9709716506157329,0.022346386685967445,0.9471609499305487,0.6411042213439941,21.90475034713745,0.6687138080596924,22.367865324020386,0.955078125,0.958984375
D,two_concepts,TinyCNN,4001,template_release,200,contrast,1,True,0.061828907212671314,0.0,0.061828907212671314,0.3000244024276616,0.3025842084534661,1.7996292114257812,0.11860239505767822,120.89089965820312,51.81642150878906,120.99697875976562,52.496337890625,0.01171875,0.01171875
