task,architecture,profile,method,k,metric,n,mean,sd,ci_low,ci_high
single_shape,TinyCNN,release_default,auroc,15,prob_fidelity,50,0.9998539935054219,0.00040444834617379033,0.9997390505572289,0.999968936453615
single_shape,TinyCNN,release_default,auroc,15,centered_logit_fidelity,50,0.9896270494885306,0.005466037100941819,0.98807361893242,0.9911804800446413
single_shape,TinyCNN,release_default,auroc,15,prob_error_reduction,50,1.9815565923015266,0.007629969667800685,1.9793881789144099,1.9837250056886433
single_shape,TinyCNN,release_default,auroc,16,prob_fidelity,50,1.0,0.0,1.0,1.0
single_shape,TinyCNN,release_default,auroc,16,centered_logit_fidelity,50,1.0,0.0,1.0,1.0
single_shape,TinyCNN,release_default,auroc,16,prob_error_reduction,50,1.9818446445465088,0.0072341923270153935,1.9797887098351197,1.9839005792578979
single_shape,TinyCNN,release_default,validation_patch,1,prob_fidelity,50,0.0862903293548843,0.045912848251246495,0.07324204225502742,0.09933861645474118
single_shape,TinyCNN,release_default,validation_patch,1,centered_logit_fidelity,50,0.2512827245323058,0.03985057524171602,0.23995731635891415,0.2626081327056975
single_shape,TinyCNN,release_default,validation_patch,1,prob_error_reduction,50,0.1710053277015686,0.09098357375745825,0.14514808213793515,0.19686257326520204
single_shape,TinyCNN,release_default,validation_patch,2,prob_fidelity,50,0.27108900407614456,0.06451876307876069,0.2527529744886868,0.28942503366360234
single_shape,TinyCNN,release_default,validation_patch,2,centered_logit_fidelity,50,0.4167174820372254,0.044438953290938485,0.40408807125041907,0.42934689282403177
single_shape,TinyCNN,release_default,validation_patch,2,prob_error_reduction,50,0.5372573924064636,0.12784050863409513,0.5009255218476791,0.5735892629652481
single_shape,TinyCNN,release_default,validation_patch,3,prob_fidelity,50,0.42552962028969477,0.06692868764307056,0.4065086977190782,0.4445505428603113
single_shape,TinyCNN,release_default,validation_patch,3,centered_logit_fidelity,50,0.5296890590657736,0.04897158830710753,0.5157714876602622,0.543606630471285
single_shape,TinyCNN,release_default,validation_patch,3,prob_error_reduction,50,0.8433474850654602,0.1327175195839806,0.8056295833304999,0.8810653868004205
single_shape,TinyCNN,release_default,validation_patch,4,prob_fidelity,50,0.5689991979780438,0.07098822497386696,0.5488245676632474,0.5891738282928402
single_shape,TinyCNN,release_default,validation_patch,4,centered_logit_fidelity,50,0.6307696786715523,0.04495772920262753,0.617992833401937,0.6435465239411676
single_shape,TinyCNN,release_default,validation_patch,4,prob_error_reduction,50,1.1277033746242524,0.141181691217963,1.0875799819265382,1.1678267673219667
single_shape,TinyCNN,release_default,validation_patch,5,prob_fidelity,50,0.703219880152727,0.07469564327141022,0.6819916132157614,0.7244481470896925
single_shape,TinyCNN,release_default,validation_patch,5,centered_logit_fidelity,50,0.713499799513132,0.0427273780610328,0.7013568130246093,0.7256427860016548
single_shape,TinyCNN,release_default,validation_patch,5,prob_error_reduction,50,1.3936820137500763,0.14831850971631558,1.3515303596768866,1.435833667823266
single_shape,TinyCNN,release_default,validation_patch,6,prob_fidelity,50,0.8064872868714871,0.06129596031657532,0.7890671676949254,0.8239074060480488
single_shape,TinyCNN,release_default,validation_patch,6,centered_logit_fidelity,50,0.7764940073080604,0.04049432085841961,0.7649856486546625,0.7880023659614583
