architecture,method,k,metric,block,delta
TinyCNN,auroc,2,centered_logit_fidelity,4001,-0.20909928618507556
TinyCNN,auroc,2,centered_logit_fidelity,4002,-0.14499140481084583
TinyCNN,auroc,2,centered_logit_fidelity,4003,-0.40295360459253815
TinyCNN,auroc,2,centered_logit_fidelity,4004,-0.2158723831278636
TinyCNN,auroc,2,centered_logit_fidelity,4005,-0.2584618501016194
TinyCNN,auroc,2,centered_logit_fidelity,4006,-0.14712936914560792
TinyCNN,auroc,2,centered_logit_fidelity,4007,-0.09069322839705829
TinyCNN,auroc,2,centered_logit_fidelity,4008,-0.26258812704385526
TinyCNN,auroc,2,centered_logit_fidelity,4009,-0.0388351222717056
TinyCNN,auroc,2,centered_logit_fidelity,4010,-0.048269333629327615
TinyCNN,auroc,2,centered_logit_fidelity,4011,-0.2734695026996792
TinyCNN,auroc,2,centered_logit_fidelity,4012,-0.2636271294949276
TinyCNN,auroc,2,centered_logit_fidelity,4013,-0.09819390775690473
TinyCNN,auroc,2,centered_logit_fidelity,4014,-0.02314620316812388
TinyCNN,auroc,2,centered_logit_fidelity,4015,-0.003616071328331971
TinyCNN,auroc,2,centered_logit_fidelity,4016,-0.1513668565235221
TinyCNN,auroc,2,centered_logit_fidelity,4017,-0.1215556554850048
TinyCNN,auroc,2,centered_logit_fidelity,4018,-0.22123019486661966
TinyCNN,auroc,2,centered_logit_fidelity,4019,-0.31735117249072364
TinyCNN,auroc,4,centered_logit_fidelity,4000,0.021455806426022517
TinyCNN,auroc,4,centered_logit_fidelity,4001,0.0006983034738297089
TinyCNN,auroc,4,centered_logit_fidelity,4002,-0.06535828028902546
TinyCNN,auroc,4,centered_logit_fidelity,4003,-0.15227020446549777
TinyCNN,auroc,4,centered_logit_fidelity,4004,-0.009237891654629515
TinyCNN,auroc,4,centered_logit_fidelity,4005,-0.18650822098852082
TinyCNN,auroc,4,centered_logit_fidelity,4006,-0.036684144993891166
TinyCNN,auroc,4,centered_logit_fidelity,4007,-0.002521699941686828
TinyCNN,auroc,4,centered_logit_fidelity,4008,-0.03861781335595604
TinyCNN,auroc,4,centered_logit_fidelity,4009,-0.007368533418666723
TinyCNN,auroc,4,centered_logit_fidelity,4010,-0.03112505407670385
TinyCNN,auroc,4,centered_logit_fidelity,4011,-0.01969474701513141
TinyCNN,auroc,4,centered_logit_fidelity,4012,-0.03323465044086804
TinyCNN,auroc,4,centered_logit_fidelity,4013,-0.008357391188148822
TinyCNN,auroc,4,centered_logit_fidelity,4014,-0.05455544406467494
TinyCNN,auroc,4,centered_logit_fidelity,4015,-0.06699123136186591
TinyCNN,auroc,4,centered_logit_fidelity,4016,-0.03688676372108535
TinyCNN,auroc,4,centered_logit_fidelity,4017,0.002620403055382692
TinyCNN,auroc,4,centered_logit_fidelity,4018,-0.079364644993139
TinyCNN,auroc,4,centered_logit_fidelity,4019,-0.03358631807500834
TinyCNN,auroc,8,centered_logit_fidelity,4000,0.011922712612566277
TinyCNN,auroc,8,centered_logit_fidelity,4001,0.004129127307964109
TinyCNN,auroc,8,centered_logit_fidelity,4002,-0.013234391615901342
TinyCNN,auroc,8,centered_logit_fidelity,4003,0.02380307198745213
TinyCNN,auroc,8,centered_logit_fidelity,4004,0.011619283921736723
TinyCNN,auroc,8,centered_logit_fidelity,4005,-0.006107606275093991
TinyCNN,auroc,8,centered_logit_fidelity,4006,0.0008082875358779162
TinyCNN,auroc,8,centered_logit_fidelity,4007,0.008053938491484613
TinyCNN,auroc,8,centered_logit_fidelity,4008,-0.0022575022726440963
TinyCNN,auroc,8,centered_logit_fidelity,4009,0.011238823930685538
TinyCNN,auroc,8,centered_logit_fidelity,4010,0.006660373900200578
TinyCNN,auroc,8,centered_logit_fidelity,4011,0.004989444024469769
TinyCNN,auroc,8,centered_logit_fidelity,4012,0.00465022101590129
TinyCNN,auroc,8,centered_logit_fidelity,4013,0.002866033380316102
TinyCNN,auroc,8,centered_logit_fidelity,4014,-0.0038456031430885718
TinyCNN,auroc,8,centered_logit_fidelity,4015,0.01305335059504753
TinyCNN,auroc,8,centered_logit_fidelity,4016,0.014375740500801815
TinyCNN,auroc,8,centered_logit_fidelity,4017,0.002217586943204064
TinyCNN,auroc,8,centered_logit_fidelity,4018,0.0008079292693975448
TinyCNN,auroc,8,centered_logit_fidelity,4019,-0.004354808024673584
TinyCNN,validation_patch,1,centered_logit_fidelity,4000,-0.09061906756450888
TinyCNN,validation_patch,1,centered_logit_fidelity,4001,-0.11779327522445981
TinyCNN,validation_patch,1,centered_logit_fidelity,4002,-0.1595832327110709
TinyCNN,validation_patch,1,centered_logit_fidelity,4003,-0.2310251073906019
TinyCNN,validation_patch,1,centered_logit_fidelity,4004,-0.08916554677244615
TinyCNN,validation_patch,1,centered_logit_fidelity,4005,-0.17275563512038117
TinyCNN,validation_patch,1,centered_logit_fidelity,4006,-0.14113074003452786
TinyCNN,validation_patch,1,centered_logit_fidelity,4007,-0.10638021398376285
TinyCNN,validation_patch,1,centered_logit_fidelity,4008,-0.09537822463690004
TinyCNN,validation_patch,1,centered_logit_fidelity,4009,-0.11331725847737373
TinyCNN,validation_patch,1,centered_logit_fidelity,4010,-0.09842909225179619
TinyCNN,validation_patch,1,centered_logit_fidelity,4011,-0.1382290624235809
TinyCNN,validation_patch,1,centered_logit_fidelity,4012,-0.0947477907640194
TinyCNN,validation_patch,1,centered_logit_fidelity,4013,-0.0988217038857343
TinyCNN,validation_patch,1,centered_logit_fidelity,4014,-0.08529064552777388
TinyCNN,validation_patch,1,centered_logit_fidelity,4015,-0.14013322176285448
TinyCNN,validation_patch,1,centered_logit_fidelity,4016,-0.037554349420924615
TinyCNN,validation_patch,1,centered_logit_fidelity,4017,-0.10046592403920318
TinyCNN,validation_patch,1,centered_logit_fidelity,4018,-0.17602286438232995
TinyCNN,validation_patch,1,centered_logit_fidelity,4019,-0.051530098575689354
TinyCNN,validation_patch,2,centered_logit_fidelity,4000,-0.05131084009077347
TinyCNN,validation_patch,2,centered_logit_fidelity,4001,-0.12695883280882037
TinyCNN,validation_patch,2,centered_logit_fidelity,4002,-0.16899682421681594
TinyCNN,validation_patch,2,centered_logit_fidelity,4003,-0.13627089485076027
TinyCNN,validation_patch,2,centered_logit_fidelity,4004,-0.04720799718676871
TinyCNN,validation_patch,2,centered_logit_fidelity,4005,-0.12037670348409035
TinyCNN,validation_patch,2,centered_logit_fidelity,4006,-0.1224654050246885
TinyCNN,validation_patch,2,centered_logit_fidelity,4007,-0.0891090380807199
TinyCNN,validation_patch,2,centered_logit_fidelity,4008,-0.09417627091305247
TinyCNN,validation_patch,2,centered_logit_fidelity,4009,-0.07655448242043417
TinyCNN,validation_patch,2,centered_logit_fidelity,4010,-0.048025355293150884
TinyCNN,validation_patch,2,centered_logit_fidelity,4011,-0.1508901662702814
TinyCNN,validation_patch,2,centered_logit_fidelity,4012,-0.046091982286753264
TinyCNN,validation_patch,2,centered_logit_fidelity,4013,-0.07153210198852067
TinyCNN,validation_patch,2,centered_logit_fidelity,4014,-0.02314620316812388
TinyCNN,validation_patch,2,centered_logit_fidelity,4015,-0.11278266869038411
TinyCNN,validation_patch,2,centered_logit_fidelity,4016,-0.09842338433553433
TinyCNN,validation_patch,2,centered_logit_fidelity,4017,-0.06436802044511503
TinyCNN,validation_patch,2,centered_logit_fidelity,4018,-0.1454773536257833
TinyCNN,validation_patch,2,centered_logit_fidelity,4019,-0.04166958799257736
TinyCNN,validation_patch,4,centered_logit_fidelity,4000,0.03451970871649701
TinyCNN,validation_patch,4,centered_logit_fidelity,4001,-0.01622444426507874
TinyCNN,validation_patch,4,centered_logit_fidelity,4002,-0.07657063493672012
TinyCNN,validation_patch,4,centered_logit_fidelity,4003,-0.030663223679971208
TinyCNN,validation_patch,4,centered_logit_fidelity,4004,-0.011988036419255055
TinyCNN,validation_patch,4,centered_logit_fidelity,4005,-0.026495699979386722
TinyCNN,validation_patch,4,centered_logit_fidelity,4006,-0.024738895961714524
TinyCNN,validation_patch,4,centered_logit_fidelity,4007,-0.002521699941686828
TinyCNN,validation_patch,4,centered_logit_fidelity,4008,-0.009891276981766506
TinyCNN,validation_patch,4,centered_logit_fidelity,4009,-0.007368533418666723
TinyCNN,validation_patch,4,centered_logit_fidelity,4010,0.0033473037511519976
TinyCNN,validation_patch,4,centered_logit_fidelity,4011,-0.04803883259632302
